12,30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0,0.995,0.012,-0.012,0,0.289,0.092,-0.092,0,nul,nul,nul,nul,nul,nul,nul,nul,9.88,0.94,-0.94,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,6.962,0.011,0,0,6300,60,0,0,1.16,0.04,0,0,1.13,0.03,0,0,HD 16232,HIP 12184,3.6,F6 V,nul,0,0
13,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,0.38,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,3.88,0.85,-0.85,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4.82,nul,0,0,4200,70,0,0,0.98,0.05,0,0,22.03,1,0,0,HD 170693,HIP 90344,5.15,K1.5 III,nul,0,0
14,47 UMa,b,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,nul,nul,nul,nul,nul,nul,nul,nul,2.53,0.07,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,nul,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,nul,0,0,HD 95128,HIP 53721,4,G0 V,nul,0,0
15,47 UMa,c,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,nul,nul,nul,nul,nul,nul,nul,nul,0.54,0.066,-0.073,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,nul,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,nul,0,0,HD 95128,HIP 53721,4,G0 V,nul,0,0
16,47 UMa,d,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,nul,nul,nul,nul,nul,nul,nul,nul,1.64,0.29,-0.48,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5.05,nul,0,0,5892,70,0,0,1.03,0.05,0,0,1.23,nul,0,0,HD 95128,HIP 53721,4,G0 V,nul,0,0
17,51 Peg,b,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.013,0.012,-0.012,0,nul,nul,nul,nul,nul,nul,nul,nul,0.472,0.039,-0.039,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5.5,nul,0,0,5793,70,0,0,1.12,0.06,0,0,1.2,nul,0,0,HD 217014,HIP 113357,4.25,G2.5 IV,nul,0,0
18,55 Cnc,b,Radial Velocity,5,14.651,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,0.004,0.003,-0.003,0,nul,nul,nul,nul,nul,nul,nul,nul,0.8,0.012,-0.012,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5,K0 IV-V,nul,0,0
19,55 Cnc,c,Radial Velocity,5,44.38,0.007,-0.007,0,0.237,0.0013,-0.0013,0,0.07,0.02,-0.02,0,nul,nul,nul,nul,nul,nul,nul,nul,0.165,0.0054,-0.0054,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5,K0 IV-V,nul,0,0
20,55 Cnc,d,Radial Velocity,5,4909,30,-30,0,5.47,0.06,-0.06,0,0.02,0.008,-0.008,0,nul,nul,nul,nul,nul,nul,nul,nul,3.53,0.08,-0.08,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5,K0 IV-V,nul,0,0
21,55 Cnc,e,Radial Velocity,5,0.73654,0.000003,-0.000003,0,0.01583,0.0002,-0.0002,0,nul,nul,nul,nul,90,3.8,-3.8,0,0.027,0.001,-0.001,0,nul,nul,nul,nul,0.178,0.012,-0.012,0,5.9,1.5,-1.1,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5,K0 IV-V,nul,0,0
22,55 Cnc,f,Radial Velocity,5,261.2,0.4,-0.4,0,0.77,0.005,-0.005,0,0.32,0.05,-0.05,0,nul,nul,nul,nul,nul,nul,nul,nul,0.172,0.008,-0.008,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5.938,0.009,0,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,5,K0 IV-V,nul,0,0
23,61 Vir,b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,nul,nul,nul,nul,nul,nul,nul,nul,0.016,0.002,-0.002,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,nul,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.5,G5 V,nul,0,0
24,61 Vir,c,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,0.057,0.003,-0.003,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,nul,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.5,G5 V,nul,0,0
25,61 Vir,d,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,nul,nul,nul,nul,nul,nul,nul,nul,0.072,0.008,-0.008,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,0,4.74,nul,0,0,5577,33,0,0,0.94,0.03,0,0,0.96,0.01,0,0,HD 115617,HIP 64924,4.5,G5 V,nul,0,0
26,70 Vir,b,Radial Velocity,1,116.6884,0.0044,-0.0044,0,0.484,0.028,-0.028,0,0.4007,0.0035,-0.0035,0,nul,nul,nul,nul,7.49,0.61,-0.61,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,0,4.98,nul,0,0,5545,nul,0,0,1.11,nul,0,0,nul,nul,nul,nul,HD 117176,HIP 65721,4.4,G4 V,nul,0,0
27,75 Cet,b,Radial Velocity,1,691.9,3.6,-3.6,0,2.1,nul,nul,0,0.117,0.048,-0.048,0,nul,nul,nul,nul,3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,6.87,-8.27,0,5.35,nul,0,0,4846,18,0,0,2.49,0.02,0,0,10.5,1,0,0,HD 15779,HIP 11791,4.3,G3 III,nul,0,0
28,81 Cet,b,Radial Velocity,1,952.7,8.8,-8.8,0,2.5,nul,nul,0,0.206,0.029,-0.029,0,nul,nul,nul,nul,nul,nul,nul,nul,5.3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,0,5.65,nul,0,0,4785,25,0,0,2.4,0.1,0,0,11,2,0,0,HD 16400,HIP 12247,4.5,G5 III,nul,0,0
29,91 Aqr,b,Radial Velocity,1,181.4,0.1,-0.1,0,0.7,nul,nul,0,0.027,0.026,-0.026,0,nul,nul,nul,nul,nul,nul,nul,nul,3.2,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,0,4.25,nul,0,0,4665,18,0,0,1.4,0.1,0,0,11,0.1,0,0,HD 219449,HIP 114855,5,K0 III,nul,0,0
30,AB Pic,b,Imaging,1,nul,nul,nul,nul,260,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,13.5,0.5,-0.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,1.64,-1.76,0,9.128,0.019,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,HD 44627,HIP 30034,5.2,K2 V,nul,0,0
