# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Mon Mar 24 20:16:32 2014,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [jup] (val),,,,,,,,,,,,,
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc),,,,,,,,,,,,,
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc),,,,,,,,,,,,,
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag),,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,
#,,,,,,,,,,,,,
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
85,10.5,4.5,-4.5,0,,,,,23.1,2.4,-2.4,0,2011
86,12.569,8.379,-5.237,0,,,,,,,,,2006
87,1.03,0.12,-0.12,0,1.49,0.08,-0.08,0,,,,,2008
88,3.47,0.22,-0.22,0,1.466,0.042,-0.044,0,200,,,0,2008
89,21.66,1,-1,0,1.01,0.07,-0.07,0,680,160,-160,0,2008
90,0.72,0.08,-0.08,0,1.19,0.06,-0.05,0,,,,,2008
91,0.467,0.047,-0.024,0,1.388,0.046,-0.047,0,,,,,2009
92,2.96,0.34,-0.34,0,1.166,0.035,-0.035,0,,,,,2009
93,0.015,0.003,-0.003,0,0.15,0.008,-0.008,0,150,20,-20,0,2009
94,0.026,0.003,-0.003,0,,,,,150,20,-20,0,2009
95,0.22,0.03,-0.03,0,0.57,0.02,-0.02,0,380,30,-30,0,2010
96,0.84,0.07,-0.07,0,1.05,0.04,-0.04,0,460,,,0,2009
97,2.75,0.16,-0.16,0,0.97,0.07,-0.07,0,345,70,-70,0,2010
98,2.33,0.34,-0.34,0,1.43,0.03,-0.03,0,560,30,-30,0,2010
99,0.917,0.07,-0.065,0,1.44,0.13,-0.13,0,1150,85,-85,0,2010
100,1.308,0.066,-0.066,0,0.885,0.014,-0.014,0,1060,100,-100,0,2010
101,7.6,0.6,-0.6,0,1.09,0.07,-0.07,0,1340,110,-110,0,2010
102,0.535,0.085,-0.083,0,1.17,0.16,-0.14,0,840,90,-90,0,2011
103,2.43,0.3,-0.3,0,1.02,0.07,-0.07,0,920,50,-50,0,2011
104,3.47,0.38,-0.38,0,1.31,0.18,-0.18,0,870,90,-90,0,2011
105,1.11,0.06,-0.06,0,1.29,0.03,-0.03,0,770,160,-160,0,2011
106,4.24,0.23,-0.23,0,0.84,0.04,-0.04,0,1230,120,-120,0,2011
107,2.8,0.3,-0.3,0,1.05,0.13,-0.13,0,600,50,-50,0,2011
108,10.39,0.55,-0.55,0,1.007,0.044,-0.044,0,,,,,2014
109,28.5,1.9,-1.9,0,,,,,20.77,0.08,-0.08,0,2013
110,,,,,,,,,10.91,0.07,-0.07,0,1999
111,,,,,,,,,14.97,0.44,-0.46,0,2013
112,,,,,,,,,14.97,0.44,-0.46,0,2013
113,,,,,,,,,14.97,0.44,-0.46,0,2013
114,,,,,,,,,12.12,0.56,-0.62,0,2009
115,2.5,0.7,-0.4,0,,,,,15.1,0.22,-0.22,0,2007
116,,,,,,,,,20.03,0.85,-0.92,0,2013
117,,,,,,,,,9.04,0.14,-0.15,0,2011
118,0.0729,0.0025,-0.0025,0,0.377,0.008,-0.009,0,10.23,0.23,-0.24,0,2004
119,4,4.5,-1,0,,,,,17.95,0.27,-0.28,0,2013
120,,,,,,,,,6.27,0.09,-0.09,0,2005
121,,,,,,,,,6.27,0.09,-0.09,0,2005
122,,,,,,,,,6.27,0.09,-0.09,0,2005
123,,,,,,,,,6.27,0.09,-0.09,0,2005
124,,,,,,,,,10.32,0.16,-0.16,0,2009
125,,,,,,,,,6.8,,,0,2011
126,,,,,,,,,6.8,,,0,2011
127,,,,,,,,,6.8,,,0,2013
128,,,,,,,,,6.8,,,0,2013
129,,,,,,,,,6.8,,,0,2013
130,,,,,,,,,6.8,,,0,2013
131,,,,,,,,,4.54,0.03,-0.03,0,2007
132,,,,,,,,,16.13,0.46,-0.49,0,2010
133,,,,,,,,,16.13,0.46,-0.49,0,2012
134,,,,,,,,,16.13,0.46,-0.49,0,2012
135,,,,,,,,,4.94,0.03,-0.03,0,2008
136,,,,,,,,,8.77,0.16,-0.17,0,2006
137,2.2756,0.0045,-0.0045,0,,,,,4.7,0.05,-0.05,0,1998
138,0.7142,0.0039,-0.0039,0,,,,,4.7,0.05,-0.05,0,2000
139,0.021,0.001,-0.001,0,,,,,4.7,0.05,-0.05,0,2005
140,0.046,0.005,-0.005,0,,,,,4.7,0.05,-0.05,0,2010
