138,,4.7,GJ 876 c,2000,2
139,,4.7,GJ 876 d,2005,2
140,,4.7,GJ 876 e,2010,2
141,0.203,,GJ 1214 b,2009,2
142,,17.62,GJ 3021 b,2000,2
143,0.37,25.2,GJ 3470 b,2012,2
144,,19.8,GJ 3634 b,2010,2
145,,145,GSC 06214-00210 b,2010,2
146,1.225,139,HAT-P-1 b,2006,2
147,1.157,135.32,HAT-P-2 b,2007,2
148,0.827,138,HAT-P-3 b,2007,2
149,1.274,314,HAT-P-4 b,2007,2
150,1.26,342,HAT-P-5 b,2007,2
151,1.33,261,HAT-P-6 b,2007,2
152,1.5,230,HAT-P-8 b,2008,2
153,1.4,480,HAT-P-9 b,2008,2
154,0.959,142.5,HAT-P-12 b,2009,2
155,1.271,214,HAT-P-13 b,2009,2
156,,214,HAT-P-13 c,2009,2
157,1.15,205,HAT-P-14 b,2010,2
158,1.072,190,HAT-P-15 b,2010,2
159,1.289,235,HAT-P-16 b,2010,2
160,1.01,90,HAT-P-17 b,2010,2
161,,90,HAT-P-17 c,2010,2
162,0.995,166,HAT-P-18 b,2010,2
163,1.132,215,HAT-P-19 b,2010,2
164,0.867,70,HAT-P-20 b,2010,2
165,1.024,254,HAT-P-21 b,2010,2
166,1.08,82,HAT-P-22 b,2010,2
167,1.368,393,HAT-P-23 b,2010,2
168,1.242,396,HAT-P-24 b,2010,2
169,1.19,297,HAT-P-25 b,2010,2
170,0.565,134,HAT-P-26 b,2010,2
171,1.02,204,HAT-P-27 b,2011,2
172,1.212,395,HAT-P-28 b,2011,2
173,1.107,322,HAT-P-29 b,2011,2
174,1.34,193,HAT-P-30 b,2011,2
175,1.07,354,HAT-P-31 b,2011,2
176,1.789,283,HAT-P-32 b,2011,2
177,1.686,387,HAT-P-33 b,2011,2
178,1.197,257,HAT-P-34 b,2011,2
179,1.332,535,HAT-P-35 b,2011,2
180,1.264,317,HAT-P-36 b,2011,2
181,1.178,411,HAT-P-37 b,2011,2
182,0.825,249,HAT-P-38 b,2012,2
183,1.571,642,HAT-P-39 b,2012,2
184,1.73,501,HAT-P-40 b,2012,2
185,1.685,344,HAT-P-41 b,2012,2
186,1.28,447,HAT-P-42 b,2012,2
187,1.281,542,HAT-P-43 b,2012,2
