rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
22,261.2,0.4,-0.4,0,0.32,0.05,-0.05,0,nul,nul,nul,nul,nul,nul,nul,nul,0.172,0.008,-0.008,0,nul,nul,nul,nul,nul,nul,nul,nul,0.91,0.01,0,0,0.94,0.01,0,0,5,K0 IV-V,nul,0,0
23,4.215,0.0006,-0.0006,0,0.12,0.11,-0.11,0,nul,nul,nul,nul,nul,nul,nul,nul,0.016,0.002,-0.002,0,nul,nul,nul,nul,nul,nul,nul,nul,0.94,0.03,0,0,0.96,0.01,0,0,4.5,G5 V,nul,0,0
24,38.021,0.034,-0.034,0,0.14,0.06,-0.06,0,nul,nul,nul,nul,nul,nul,nul,nul,0.057,0.003,-0.003,0,nul,nul,nul,nul,nul,nul,nul,nul,0.94,0.03,0,0,0.96,0.01,0,0,4.5,G5 V,nul,0,0
25,123.01,0.55,-0.55,0,0.35,0.09,-0.09,0,nul,nul,nul,nul,nul,nul,nul,nul,0.072,0.008,-0.008,0,nul,nul,nul,nul,nul,nul,nul,nul,0.94,0.03,0,0,0.96,0.01,0,0,4.5,G5 V,nul,0,0
26,116.6884,0.0044,-0.0044,0,0.4007,0.0035,-0.0035,0,nul,nul,nul,nul,7.49,0.61,-0.61,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,1.11,nul,0,0,nul,nul,nul,nul,4.4,G4 V,nul,0,0
27,691.9,3.6,-3.6,0,0.117,0.048,-0.048,0,nul,nul,nul,nul,3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.49,0.02,0,0,10.5,1,0,0,4.3,G3 III,nul,0,0
28,952.7,8.8,-8.8,0,0.206,0.029,-0.029,0,nul,nul,nul,nul,nul,nul,nul,nul,5.3,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.4,0.1,0,0,11,2,0,0,4.5,G5 III,nul,0,0
29,181.4,0.1,-0.1,0,0.027,0.026,-0.026,0,nul,nul,nul,nul,nul,nul,nul,nul,3.2,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,1.4,0.1,0,0,11,0.1,0,0,5,K0 III,nul,0,0
30,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,13.5,0.5,-0.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,5.2,K2 V,nul,0,0
31,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,17,6,-6,0,nul,nul,nul,nul,2.2,0.81,-0.6,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
32,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,11,10,-3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.33,nul,0,0,0.27,0.07,0,0,6.05,M0.5,nul,0,0
33,10220,730,-730,0,0.39,0.13,-0.13,0,nul,nul,nul,nul,nul,nul,nul,nul,6.05,0.47,-0.58,0,nul,nul,nul,nul,nul,nul,nul,nul,0.69,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul
34,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,15.711,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
35,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,10,4,-4,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.28,0.05,0,0,nul,nul,nul,nul,6.4,M4,nul,0,0
36,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,20,nul,nul,0,nul,nul,nul,nul,3,0.5,-0.5,0,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,5.7,K7e V,nul,0,0
37,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,21.9987,9.42803,-9.42803,0,nul,nul,nul,nul,1.051,0.136,-0.058,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0 IV-V,nul,0,0
38,5767,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,19.2,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
