rowid,koi_pdisposition,koi_disposition,koi_prad,
4176,CANDIDATE,CANDIDATE,1.608,1
6870,NOT DISPOSITIONED,NOT DISPOSITIONED,1.608,0
360,CANDIDATE,CANDIDATE,1.61,1
537,FALSE POSITIVE,FALSE POSITIVE,1.61,0
756,CANDIDATE,CONFIRMED,1.61,1
1240,CANDIDATE,CONFIRMED,1.61,1
1677,CANDIDATE,CANDIDATE,1.61,1
2157,CANDIDATE,CONFIRMED,1.61,1
2545,CANDIDATE,CONFIRMED,1.61,1
2582,CANDIDATE,CANDIDATE,1.61,1
3056,CANDIDATE,CONFIRMED,1.61,1
3266,CANDIDATE,CONFIRMED,1.61,1
3380,CANDIDATE,CANDIDATE,1.61,1
3531,FALSE POSITIVE,FALSE POSITIVE,1.61,0
3938,CANDIDATE,CANDIDATE,1.61,1
4274,FALSE POSITIVE,FALSE POSITIVE,1.61,0
4638,CANDIDATE,CANDIDATE,1.61,1
4689,FALSE POSITIVE,FALSE POSITIVE,1.61,0
4949,CANDIDATE,CANDIDATE,1.61,1
4989,CANDIDATE,CONFIRMED,1.61,1
5122,CANDIDATE,CANDIDATE,1.61,1
5953,CANDIDATE,CANDIDATE,1.61,1
6263,FALSE POSITIVE,FALSE POSITIVE,1.61,0
6759,NOT DISPOSITIONED,NOT DISPOSITIONED,1.61,0
5866,CANDIDATE,CANDIDATE,1.611,1
4140,CANDIDATE,CANDIDATE,1.613,1
6129,NOT DISPOSITIONED,NOT DISPOSITIONED,1.615,0
4495,CANDIDATE,CANDIDATE,1.619,1
714,FALSE POSITIVE,FALSE POSITIVE,1.62,0
719,CANDIDATE,CONFIRMED,1.62,1
1072,CANDIDATE,CANDIDATE,1.62,1
1244,CANDIDATE,CONFIRMED,1.62,1
1556,CANDIDATE,CANDIDATE,1.62,1
2043,CANDIDATE,CONFIRMED,1.62,1
2053,CANDIDATE,CANDIDATE,1.62,1
2203,FALSE POSITIVE,FALSE POSITIVE,1.62,0
2261,CANDIDATE,CANDIDATE,1.62,1
2443,CANDIDATE,CANDIDATE,1.62,1
2599,CANDIDATE,CONFIRMED,1.62,1
2919,CANDIDATE,CANDIDATE,1.62,1
3122,CANDIDATE,CONFIRMED,1.62,1
4499,CANDIDATE,CANDIDATE,1.62,1
6280,CANDIDATE,CANDIDATE,1.62,1
6415,FALSE POSITIVE,FALSE POSITIVE,1.62,0
585,CANDIDATE,CANDIDATE,1.623,1
439,CANDIDATE,CONFIRMED,1.624,1
511,FALSE POSITIVE,FALSE POSITIVE,1.624,0
5332,FALSE POSITIVE,FALSE POSITIVE,1.624,0
5372,FALSE POSITIVE,FALSE POSITIVE,1.627,0
