1483,0.117,Kepler-374 d,2014
811,0.118,Kepler-100 b,2014
947,0.118,Kepler-157 b,2014
1282,0.118,Kepler-292 b,2014
1304,0.118,Kepler-299 b,2014
1386,0.118,Kepler-333 b,2014
1498,0.118,Kepler-382 b,2014
1500,0.118,Kepler-383 b,2014
1525,0.118,Kepler-395 c,2014
815,0.119,Kepler-101 c,2014
918,0.119,Kepler-144 b,2014
1019,0.119,Kepler-186 e,2014
1100,0.119,Kepler-220 e,2014
1181,0.119,Kepler-251 b,2014
1269,0.119,Kepler-286 d,2014
1424,0.119,Kepler-348 c,2014
1521,0.119,Kepler-393 c,2014
919,0.12,Kepler-144 c,2014
1017,0.12,Kepler-186 c,2014
1028,0.12,Kepler-191 b,2014
1265,0.12,Kepler-285 b,2014
1310,0.12,Kepler-301 b,2014
1311,0.12,Kepler-301 c,2014
1378,0.12,Kepler-330 b,2014
1210,0.121,Kepler-262 b,2014
1293,0.121,Kepler-295 d,2014
1476,0.121,Kepler-372 b,2014
1479,0.121,Kepler-373 b,2014
969,0.122,Kepler-167 c,2014
1154,0.122,Kepler-240 b,2014
1268,0.122,Kepler-286 c,2014
1356,0.122,Kepler-320 c,2014
775,0.123,Kepler-84 d,2014
1435,0.123,Kepler-353 c,2014
1541,0.123,Kepler-402 d,2014
1069,0.124,Kepler-208 c,2014
1112,0.124,Kepler-224 b,2014
1488,0.124,Kepler-377 b,2014
1506,0.124,Kepler-386 b,2014
879,0.125,Kepler-127 b,2014
1369,0.125,Kepler-326 c,2014
1376,0.125,Kepler-329 b,2014
606,0.126,Kepler-10 b,2011
734,0.126,Kepler-62 f,2013
912,0.126,Kepler-141 c,2014
961,0.126,Kepler-164 b,2014
1020,0.126,Kepler-187 b,2014
1145,0.126,Kepler-237 b,2014
1390,0.126,Kepler-334 d,2014
1471,0.126,Kepler-369 c,2014
737,0.127,Kepler-65 b,2012
1401,0.127,Kepler-339 b,2014
993,0.128,Kepler-176 b,2014
1057,0.128,Kepler-203 d,2014
1233,0.128,Kepler-272 b,2014
1337,0.128,Kepler-311 c,2014
1361,0.128,Kepler-323 b,2014
1389,0.128,Kepler-334 c,2014
1533,0.128,Kepler-399 c,2014
1549,0.128,Kepler-406 b,2014
968,0.129,Kepler-167 b,2014
1253,0.129,Kepler-280 b,2014
1453,0.129,Kepler-361 b,2014
1456,0.129,Kepler-362 c,2014
1484,0.129,Kepler-375 b,2014
970,0.13,Kepler-168 b,2014
1027,0.13,Kepler-190 c,2014
1439,0.13,Kepler-355 b,2014
1464,0.13,Kepler-366 b,2014
1513,0.13,Kepler-389 c,2014
1542,0.13,Kepler-402 e,2014
902,0.131,Kepler-137 b,2014
1283,0.131,Kepler-292 c,2014
807,0.132,Kepler-97 b,2014
810,0.132,Kepler-99 b,2014
870,0.132,Kepler-123 c,2014
1071,0.132,Kepler-208 e,2014
1092,0.132,Kepler-218 b,2014
670,0.133,Kepler-36 b,2012
989,0.133,Kepler-174 c,2014
1536,0.133,Kepler-400 c,2014
661,0.134,Kepler-32 e,2012
801,0.134,Kepler-93 b,2014
1003,0.134,Kepler-180 b,2014
1066,0.134,Kepler-207 c,2014
1169,0.134,Kepler-246 c,2014
1236,0.134,Kepler-273 b,2014
1034,0.135,Kepler-194 b,2014
1060,0.135,Kepler-205 b,2014
1176,0.135,Kepler-249 c,2014
1512,0.135,Kepler-389 b,2014
711,0.136,Kepler-54 d,2014
739,0.136,Kepler-65 d,2012
862,0.136,Kepler-120 c,2014
876,0.136,Kepler-126 b,2014
924,0.136,Kepler-147 b,2014
1123,0.136,Kepler-228 b,2014
1323,0.136,Kepler-306 b,2014
1368,0.136,Kepler-326 b,2014
1423,0.136,Kepler-348 b,2014
953,0.137,Kepler-160 b,2014
1238,0.137,Kepler-274 b,2014
1396,0.137,Kepler-337 b,2014
715,0.138,Kepler-55 e,2014
720,0.138,Kepler-57 c,2012
893,0.138,Kepler-132 d,2014
1038,0.138,Kepler-195 c,2014
1118,0.138,Kepler-226 b,2014
1193,0.138,Kepler-255 b,2014
1460,0.138,Kepler-364 b,2014
697,0.139,Kepler-49 e,2014
832,0.139,Kepler-107 b,2014
1018,0.139,Kepler-186 d,2014
1026,0.139,Kepler-190 b,2014
1331,0.139,Kepler-309 b,2014
1540,0.139,Kepler-402 c,2014
1065,0.14,Kepler-207 b,2014
1098,0.14,Kepler-220 c,2014
1143,0.14,Kepler-236 b,2014
1177,0.14,Kepler-249 d,2014
1441,0.14,Kepler-356 b,2014
842,0.141,Kepler-111 b,2014
877,0.141,Kepler-126 c,2014
1507,0.141,Kepler-386 c,2014
714,0.142,Kepler-55 d,2014
716,0.142,Kepler-55 f,2014
1050,0.142,Kepler-200 c,2014
1195,0.142,Kepler-256 b,2014
