PER,TEFF,R,MSINI,MASS
day,k,rjupiter,mjupiter,mjupiter
267.291,4925,0.12568,,0
3341.5588,5468.12,,0.956901,0.956901
8.9193459,5915,0.220162,,
34.989262,4262,0.117763,,
7.1268163,5704.36,,1.40112,1.40112
4205.8,5784.28,,1.88907,1.88907
615,5386,,0.295018,0.295018
60.418955,5360,0.24177,,
7.3709,3600,,0.0181986,0.0181986
12.62,6123,,1.13,1.13
13.969457,3799,0.15434,,
5.005425,6065,1.07,2.16627,2.16904
1.4324752,4790,1.093,1.25508,1.26
13.121632,6133,0.161477,,
1.855558,5660,0.841,0.493327,0.493545
11.476094,6067,0.17932,,
20.46,4977,,0.028076,0.028076
2443,5552,,2.54762,2.54762
124.26,,,0.039229,0.039229
2102,6221.43,,4.06407,4.06407
2391,5882.31,,0.545774,0.545774
8.306,5497,0.176,,
32.273273,5727,0.22928,,
23.637604,5644,0.277456,,
2.940309,5526,0.209653,,
14.788759,5829,0.265858,,
3.289672,6053,0.147203,,
4.60182,5206,0.208761,,
12.79836,6088,0.175752,,
358,5432,,0.643827,0.643827
8.586004,6171,0.165046,,
788,5186,,0.131884,0.131884
47.318218,6117,0.19181,,
6.885875,5617,0.236417,,
8.408878,5544,0.210545,,
52.661793,4508,0.199839,,
7.410935,5524,0.089214,,
36.065978,4699,0.22928,,
1.3600309,5500,1.21,0.119555,1.76
10.945723,5888,0.243554,,
34.763278,5666,0.168615,,
0.736546,5196,0.185565,0.0261924,0.0263671
431.7,4640,,0.528573,0.528573
456.10001,6304,,3.11535,3.11535
1.7637,8500,1.83,,
345.53,5141,,2.29191,2.29191
96.678988,5676,0.352395,,
1.772419,6115,0.115086,,
5.03503,5888,0.125792,,
5.195528,6012,0.105273,,
19.738286,5905,0.127576,,
663,4965,,3.14944,3.14944
883,4927,,2.24115,2.24115
62.303276,5690,0.263181,,
12.758005,5828,0.127576,,
20.053763,6509,0.186457,,
14.435889,6106,0.1249,,
472.3,5752,,0.589265,0.589265
691.9,4904,,2.7597,2.7597
15.3348,5400,0.356538,0,0
2.453234,4559,0.262289,,
6.87349,6510,1.17,2.17681,2.17684
11.463462,5642,0.228388,,
22.92881,4465,0.172183,,
17.28111,4347,0.164154,,
672.1,3935,,11.1883,11.1883
8.129976,5736,0.157017,,
3.54387,6430,1.571,0.598375,0.599196
2.7566,5059,1.32,1.00876,1.01746
2.9036747,6050,1.5,2.24554,
655.6,4714,,5.12319,5.12319
1.93778,,,0.0184193,0.0184193
19.747412,6115,0.281024,,
1.2119189,6050,1.363,1.35448,1.39
7.824904,4255,0.114194,,
76.732171,5948,0.27924,,
30.092568,6509,0.150772,,
4.973456,5094,0.205192,,
14.310195,5674,,0.803263,0.803263
14.613612,6189,0.118655,,
16.399235,6165,0.177536,,
621.99,4259,,6.90191,6.90191
5.885273,6075,0.118655,,
528.07,5027,,13.8403,13.8403
11.131786,6092,0.107057,,
29.221289,5580,0.157909,,
37.054919,5643,0.272995,,
2082,4892,,4.4772,4.4772
,,,,0.0327
6.791636,5774,0.0918904,,
380.85,4795,,2.00901,2.00901
3.92289,6350,1.4,0.775153,0.776601
31.7844,5904,0.358929,,
17.406669,6091,0.271211,,
17.784129,6012,0.146311,,
9.2869944,5541,0.197074,0,0
8.457458,5884,0.0909983,,
13.699087,5857,0.322063,,
3.071571,5920,0.133821,,
12.699149,5615,0.199839,,
2.248329,5105,0.135605,,
48.056,5797.24,,0.212171,0.212171
10.222157,5678,0.14185,,
4.807091,5744,0.17932,,
0,6080,,,
15.368459,3568,0.140066,,
4.230785,5786.68,,0.461143,0.461143
4.3050011,5900,0.86,,
5.774464,3810,0.0660184,,
6.941357,5526,0.234633,,
18.870227,5404,0.260505,,
261.2,5196,,0.172877,0.172877
13.233549,5751,0.273887,,
46.90232,5404,0.225711,,
2.245715,5997.91,,0.39615,0.39615
21.526258,5603,0.10438,,
,6234,,,4
10.863502,5568,1.072,1.9513,1.95154
18.998355,5897,0.248015,,
3.52474859,6065,1.359,0.68851,0.689646
127.58,4807,,4.10898,4.10898
9.3743,4962,,0.0237331,0.0237331
3.0965828,5814.99,,0.510056,0.510056
10.8985,6156.24,,0.257999,0.257999
51.538,5512,0.477,,
3.8559,6250,1.24,2.05477,2.05491
10.2184954,5843,0.247794,,
20.09838,6054,0.148095,,
4.920199,5900,0.095459,,
567.94,5113,,0.327524,0.327524
6.738975,3682,0.107057,,
3.7681,5740,1.02,2.45898,2.46001
90.309,5401,,0.0147932,0.0147932
136.75,4714,,1.77912,1.77912
388,6250,,9.12785,9.12785
264.15,6089.29,,4.02224,4.02224
12.9182,3498,,0.0167756,0.0167756
5.75962,5911,,0.0415054,0.0415054
3.405909,6302,1.537,0.477154,0.479329
5000,5749.68,,0.804926,0.804926
28.986769,5888,0.218574,,
4.3115,4977,,0.0129071,0.0129071
67.093408,5644,0.289946,,
21.963945,5774,0.232849,,
6.178196,6003,0.107949,,
511.098,4528,,9.31534,9.31534
394.48124,5550.95,,1.2902,1.2902
17.648312,5160,0.194487,,
5.839172,5551,0.221251,,
4.938864,6105,0.125792,,
360.2,4959,,2.37727,2.37727
5.028219,5977,0.11687,,
31.200751,4710,0.110625,,
1561,5903.55,,7.74272,7.74272
12.645164,5603,0.108841,,
39.595519,5642,0.168615,,
1845,6160,,0.956204,0.956204
2.985698,5453.4,,0.395855,0.395855
20.342199,5806,0.207869,,
1.5373653,5881,1.269,2.25537,2.26929
4.822962,5696,0.208761,,
25.934138,6081,0.227496,,
36.959999,6200,,2.49717,2.49717
14.400974,5812,0.225711,,
55.328328,5381,0.143635,,
335.1,6300,,9.87792,9.87792
3.852985,6570,1.33,1.05632,1.05957
131.458,,0.728,0.127,0.127011
22.250949,5307,0.219467,,
82.20017,5770,0.227496,,
11.419412,4493,0.0901062,,
4.138575,5123,0.11241,,
8.20395,5020,0.232849,,
10.312364,4079,0.0544206,,
3.244107,5376,0.134713,,
25.262,,,,0.0000629267
237.6,4746,,0.328101,0.328101
269.29999,4415,,7.13242,7.13242
1.420033,4861,1.164,1.08272,1.08979
1075.2,5680.44,,6.23505,6.23505
2.092281,6089,0.134713,,
10.04156,5243,0.243554,,
44.431014,5923,0.267642,,
2.896,3793,0.133702,,
324,6576.58,,2.83,2.83
31.158799,5948,0.330984,,
46.6888,5663,0.221888,0.00723,0.00723031
379.63,4259,,11.8883,11.8883
12.759712,5232,0.231956,,
9.6386,5784.28,,0.0345873,0.0345873
62.218,5220.58,,0.228975,0.228975
0,6080,,,
868,4932,,1.40289,1.40289
4.790936,5526,0.118655,,
225.62,6221.43,,2.88946,2.88946
3.715335,5299,0.131145,,
297.3,5111,,0.52763,0.52763
4.385315,5194,0.101704,,
7.156804,5160,0.203408,,
1383.4,5787.84,,2.33098,2.33098
5.923653,4713,0.139174,,
176.3,4757,,2.97219,2.97219
24.570858,5098,0.178428,,
9.600001,5867,0.187349,,
610,4821,,1.97113,1.97113
121.71,4284,,1.88274,1.88274
10.664903,6012,0.181997,,
1707.8812,5742.75,,1.9487,1.9487
4.4379637,5947,1.695,0.431855,0.431956
41.194912,5120,0.343474,,
0,6080,,,
1.327347,5560,1.264,1.83475,1.83923
3.161575,5990,1.32,0.716644,0.717098
197,5360,,0.0563373,0.0563373
1116,5664,,1.1614,1.1614
184.02,4753,,2.6907,2.6907
442.19,5555.23,,1.27275,1.27275
6.414914,6003,0.114194,,
3.352059,6250,1.49,,
1.653888,5388,0.0901062,,
82145,7193,1.2,,9.5
45.1555023,5803,0.628398,,
6.668391,4208,0.109733,,
3.941534,5750,1.206,0.918265,0.918464
9.4341505,5576,6.11,,
21.77596,5904,0.477,,
44.851896,5806,0.290838,,
7.49019,5100,0.22928,,
12.8159,5825,0.19627085,,0.00267
41.885775,5731,0.268534,,
5.902206,5428,0.220359,,
77.61184,5466,0.24512,0.0236858,0.0236865
5.374943,6171,0.198947,,
46.183669,4255,0.198055,,
54.418694,5854,0.271211,,
8.348125,4997,0.111518,,
5.826662,5957,0.345258,,
81.065298,6189,0.299759,,
12.718092,4699,0.207869,,
14.651,5196,,0.801471,0.801471
7.630004,6045,0.113302,,
22.597053,5577,0.0999197,,
50.697494,6335,0.245339,,
72.379334,5502,0.34615,,
7.340718,6050,1.32,0.665099,0.66711
161.97,5710,,0.564176,0.564176
5.118,5725,,0.397418,0.397418
4.465633,5900,1.3,0.57116,0.571173
2.139542,5744,0.12936,,
12.762172,5752,0.226604,,
18.179001,5995,,0.330171,0.330171
4.0161,5040,1.051,0.548481,0.55
,,,,0.83
49.747,5911,,0.0797893,0.0797893
1.6329,5208,0.10438,,
4909,5196,,3.54451,3.54451
1.846834,6400,1.29,2.00437,2.01184
1027,6308,,0.847612,0.847612
14.627119,5526,0.200732,,
20.684342,6250,0.306004,,
1.4822446,5171,1.209,1.77,1.7781
18.596108,4252,0.139174,,
3999,5765,,2.02633,2.02633
26.67569,5502,0.127576,,
34.035257,6064,0.276563,,
20.485435,4940,0.315818,,
188.3,5583.74,,2.8556,2.8556
8.594805,5678,0.190026,,
2597,5723.69,,1.8189,1.8189
21.587475,6050,0.196271,,
63.330002,6075,,1.2223,1.2223
359.51001,6138,,11.0076,11.0076
3.504725,5383,0.17843,0.0216244,0.022
41054,7193,1.37,,9.5
1.212884,5905,1.368,2.0884,2.09606
26.73,6037,,0.714594,0.714594
13.297004,4498,0.0767241,,
11.187161,5206,0.133821,,
521,4897,,1.79425,1.79425
4.144495,4985,0.122223,,
17.25204,3933,0.320884,0,0
27.082511,5848,0.300651,,
2288,3370,,0.824243,0.824243
7.781987,5764,0.107057,,
289.8623,5518,0.2125,0,0
9.605085,5793,0.0849452,0.0137538,0.015142
10.446347,5986,0.148987,,
31.719775,5960,0.197163,,
1.865169,3068,0.0508067,,
49.499875,5036,0.306004,,
1086,,,3.03499,3.03499
194.3,5760,,0.819484,0.819484
5.317429,5983,0.178428,,
2.732756,3591,0.100812,,
74.72,5166,,0.0531258,0.0531258
24.664551,5180,0.441609,,
15.170318,6175,0.200732,,
2.422082,5595,0.321171,,
1.5732918,5550,1.271,1.2691,1.27137
2.019999,5106,0.139174,,
4.6171363,6212.65,,0.669277,0.669277
21.4050484,4931,0.699706,,
4.715106,4861,0.125792,,
19.721734,5829,0.214114,,
2.1375,6028,,1.49595,1.49595
68.27,5844,,0.768085,0.768085
20.837846,4500,0.107949,,
580,5793,,0.845413,0.845413
54.280749,6090,0.156125,,
15.677563,6004,0.108841,,
7.05677,6177,0.135605,,
27.666313,6012,0.165046,,
923.8,4965.42,,3.24848,3.24848
59.980627,6108,0.19181,,
38.285489,5617,0.16683,,
3.6313,5900,1.05,3.07662,3.0853
11.837549,5774,0.0794005,,
20.995694,4252,0.136497,,
4.055259,5400,1.27,0.284135,0.284338
4.585512,5786,0.263181,,
61.1166,,,1.9469,1.9469
10.043686,6326,0.243554,,
1.897806,5977,0.0918904,,
34.142347,4249,0.156125,,
282.4,5922,,0.480333,0.480333
30.052,5793,,0.698769,0.698769
772,5016,,2.8638,2.8638
5.714606,5573,0.138282,,
5.599308,6004,0.0909983,,
11.637071,5888,0.202516,,
4.431222,5847,0.274779,,
9.387427,4504,0.107057,,
3.0678504,4145,0.952,0.551763,0.551763
420.77,5028,,1.63682,1.63682
18.207973,5088,0.248907,,
8.6669998,5360,,0.0316488,0.0316488
3.52254,6213,1.419,0.582607,0.585742
20.678772,5867,0.211437,,
8.410894,3903,0.123115,,
83.9151,5952.51,,11.6351,11.6351
33.040532,5690,0.201624,,
38.021,5571,,0.0333747,0.0333747
43.6,5312,,0.468448,0.468448
8.103636,4861,0.185565,,
4.627669,6600,1.15,2.22166,2.23603
8.77501,5497,0.153448,,
13.751243,5815,0.156125,,
4.180043,5272,0.321171,,
2.576549,4252,0.142742,,
3.250619,4997,0.100812,,
4.086052,6600,1.39,2.30754,2.31346
2.5485799,5636,,1.86902,1.86902
7.061149,3944,0.101704,,
4.425391,6282,0.130252,,
10.5034294,4931,0.342276,,
874.774,4978,,2.20888,2.20888
2.090876,5751,0.15434,,
24.674612,5460,0.186457,,
3.428054,5560,0.111518,,
396.03,4917,,22.6261,22.6261
359.89999,4650,,4.96206,4.96206
5.795278,3903,0.0794005,,
8.1352,4640,,0.0365708,0.0365708
36.337373,5723,0.473726,,
8.295611,3750,0.140066,,
255.87,5787.84,,16.8244,16.8244
1.6284229,5880,1.14,1.62047,1.62423
0.35500744,5089,0.103396,,
10.198545,4503,0.14185,,
5.960392,5378,0.258721,,
1.7429935,5625,1.466,3.27343,3.27527
10.640263,6105,0.238201,,
6.581484,5180,0.482648,,
1680.3835,5550.95,,1.02837,1.02837
,,,,11
34.543901,5930,0.21679,,
23.851549,6033,0.273887,,
825,5082,,0.945722,0.945722
2248,5911,,0.206033,0.206033
326.6,5049,,1.41137,1.41137
11.242861,6090,0.130252,,
2.875317,4595,0.867,7.27817,7.28953
5.3978,5177,,0.0291185,0.0291185
4.0378962,6100,1.388,0.461312,0.462537
4.1591399,5400,1.15,1.13635,1.13646
52.814973,6089,0.214114,,
,,,,0.53
13.83989,5911,0.132454,0.0140374,0.0140379
4.921355,5078,0.189134,,
3.646706,6096,1.332,1.05305,1.05422
439.3,5272.39,,0.504198,0.504198
10.281951,5208,0.236417,,
3.54846,6297,1.431,2.11222,2.11663
7.06424,5078,0.182889,,
1003,6104.96,,0.925037,0.925037
8.457496,4347,0.16237,,
8.98597,4590,0.303057,0,0
3.177422,5311,0.208761,,
1.720861232,5750,1.325,9.32773,9.4469
241.33335,6212.65,,1.91855,1.91855
16.665863,5679,0.255152,,
5.766193,6050,0.208761,,
1.09142245,6300,1.79,1.34899,1.36063
1.729366,5272,0.160585,,
1145,5810,,0.668676,0.668676
2.633867,5411,0.119547,,
3.41587,5438,,0.296108,0.296108
1333,6254,,2.9439,2.9439
455.2,5069,,1.83564,1.83564
1136.1,5347.98,,5.94193,5.94193
12.551158,4259,0.117763,,
19.02293,5852,0.170399,,
1789.72,,,,0.727
224.784608,5952,0.651262,,
28.464515,4258,0.202516,,
956,5781,,0.37199,0.37199
44.38,5196,,0.164558,0.164558
842.2,5910,,0.732711,0.732711
3.487691,5570,0.523686,,
181.4,4681,,3.07016,3.07016
10.327186,5788,0.0785083,,
2.508553,5815,0.120439,,
7.031462,6090,0.111518,,
14.751166,5654,0.153448,,
12.309681,6363,0.322955,,
17.990999,4875,,0.617925,0.617925
131.05,5453,,9.7848,9.7848
5.868075,5920,0.295298,,
74.920137,5619,0.58346,,
7.415563,4504,0.0660184,,
123.01,5571,,0.0715929,0.0715929
7.010606,4910,0.125792,,
14.476,5724,,0.0837774,0.0837774
28.122397,4632,0.0874297,,
3500,,,,0.0173
1.3382299,5500,1.341,1.22306,1.22311
3.107675,4910,0.0615577,,
526.62,5688,,1.64829,1.64829
3.38773,5017,,0.623724,0.623724
10.681572,5551,0.209653,,
199.505,4819,,4.9174,4.9174
10.399931,5235,0.107949,,
6.029809,5570,0.118655,,
2754,4958,,1.75571,1.75571
12.04,4500,0.211,,
15.906801,5094,0.227496,,
48.630408,6106,0.235525,,
602,5911,,0.0673813,0.0673813
16.088134,6165,0.301543,,
151.884058,6065,0.25426,,
7.466623,6092,0.124008,,
11.634788,6023,0.13739,,
1973,5752.03,,2.74962,2.74962
119.29,6076.31,,1.07139,1.07139
8.884924,5330,1.03,9.98356,9.98479
4.580358,5105,0.1249,,
7.113702,3568,0.134713,,
27.402,6187,0.247,,0.0337539
17.24,5817,,0.0669595,0.0669595
16.514043,5526,0.247123,,
4.942782,5515,0.96,0.66177,0.662431
279.8,6176,,1.48708,1.48708
30.184104,5740,0.362209,,
5.524242,5497,0.186457,,
88.255055,5088,0.213222,,
8.96855,5807,0.215006,,
5.35227,5650,1.17,0.535943,0.537982
118.45,5423,,0.646927,0.646927
464.3,4972,,1.9935,1.9935
11.8681707,6074,0.176486,,
9.926746,5479,0.244446,,
7159,,,8.99692,9
16.282493,4668,0.165046,,
603.95116,,,0.0926098,0.0926098
6.988055,5631,0.102596,,
461.2,5745.68,,1.46957,1.46957
7.919585,4650,0.775,0.859026,0.859095
3.6936411,6100,1.653,0.630293,0.63273
3.076337,6200,1.5,1.29241,1.29336
3.7521,6300,1.379,0.541448,0.542797
16.3567,5911,,0.0376549,0.0376549
192.9,5793,,1.81548,1.81548
4.1250828,,1.33,1.60219,1.60254
2.143634,5920,1.67,0.969551,0.984236
154.378,5500.24,,0.674371,0.674371
2.718661,6140,1.1,3.441,3.45362
6.846262,5835,0.165938,,
3.67724,6325,1.36,0.753425,0.757277
905.574,4764,,1.51728,1.51728
4.544439,5752,0.259613,,
118.3807,5663,0.296741,0,0
1.620493,5551,0.14185,,
15.76491,5150.54,,4.00104,4.00104
16422,7193,,,7
227,6049.74,,1.80603,1.80603
8.127899,5847,0.150772,,
,,,,0.01
4.148141,5160,0.100812,,
705,5112,,1.30477,1.30477
3.092514,6168.3,,0.902075,0.902075
311.6,4844,,1.62021,1.62021
13.767102,4997,0.196271,,
,,,,0.157
147.76916,5485,,1.27518,1.27518
83.488369,5908,0.25426,,
387.1,5052,,1.8997,1.8997
4.617101,5600,1.092,0.605178,0.605385
7.64159,5383,0.489785,0.054387,0.0544
68.16101,5739,0.156125,,
91.773242,5588,0.181997,,
3.173315,4498,0.0722634,,
14.749049,5851,0.307788,,
6.21229,5080,0.57,0.215994,0.216078
14.383035,6117,0.152556,,
5.700786,6002,0.167722,,
11.97901,5299,0.238201,,
498.9,5770,,0.68457,0.68457
327.8,5508,,0.596868,0.596868
2720,5448,,3.36552,3.36552
5.955,4500,0.216,,
626.516,5936.41,,3.57445,3.57445
27.320871,6088,0.156125,,
8.7522,3793,0.1784,0,0
7.10664,5760,0.169356,0,0
2.9444256,5150,0.962,0.871881,0.872226
326.03,4830,,16.1284,16.1284
103.95,6046,,5.78201,5.78201
17.308032,6089,0.231064,,
4.86069,6040,1.08,0.26487,0.27
7.626324,4955,0.10438,,
187.83,4749,,1.47736,1.47736
16.068638,5120,0.438933,,
1.689868,6210,1.2,1.16945,1.18
589.64001,4935,,2.75822,2.75822
4.4264,6174,,0.540155,0.540155
1.7497798,5000,1.27,0.45566,0.457165
9.693201,5684,0.182889,,
2.46236,5696,0.144527,,
25.193458,5178,0.140958,,
1078,5882.31,,2.54589,2.54589
501.75,4290,,7.28868,7.28868
3.295709,4731,0.255152,,
160.018032,5381,0.353288,,
3.57878087,5520,0.96,0.430694,0.430957
5.24,5903,,0.27467,0.27467
342.85,5434,,0.658513,0.658513
2.211099,4503,0.14185,,
2.549575,3799,0.0990276,,
1.9550959,5400,1.153,1.46438,1.47244
248.4,6123,,1.9,1.9
191.2318,5600,0.549,0.0200995,0.0201
7.125939,5873,0.143635,,
34.096863,5329,0.138282,,
3.336649,3600,0.374365,0.0439856,0.0440093
36.77031,5147,0.240878,,
25.09849,5828,0.125792,,
8.014927,5626,0.176644,,
6.61833,5885,0.221251,,
647.3,4152,,4.00701,4.00701
7.384108,5829,0.150772,,
21.21663,6079,1.02,3.30035,3.30275
18.735753,5187,0.167722,,
13.07163,6142,0.205192,,
18.795952,6169,0.696762,,
13.391635,6152,0.0999197,,
465.1,5620,,13.2921,13.2921
1157,5936,,1.33254,1.33254
24.209842,4648,0.110625,,
15.995622,4955,0.0972433,,
33.60134,5155,0.808,,
417.9,4436,,6.04937,6.04937
1630,5242,,4.09607,4.09607
37.815724,4710,0.115978,,
2.47063,5850,1.224,1.19316,1.20071
20.060548,4255,0.182889,,
13.638723,5602,0.107057,,
4.113775,5291,,0.452799,0.452799
51.805612,5194,0.281024,,
3.509267,6095.03,,0.46004,0.46004
12.130686,6402,0.148095,,
15.163161,6326,0.271211,,
6.8378503,5980,,0.954212,0.954212
4.954658,6400,0.915,0.919256,0.919279
3.052401,5450,1.2,0.931742,0.932493
3.48777,5393.03,,0.429903,0.429903
2915.0369,5551.63,,1.53512,1.53512
446.27,5653,,14.2696,14.2696
5.315946,4731,0.193594,,
1.937055,3944,0.0794005,,
692.90002,,,1.17505,1.17505
55.01307,5448,,2.80174,2.80174
2.4238039,5410,1.14,0.88769,0.889836
76.050178,5250,0.155232,,
3.468095,5580,0.122223,,
2.828042,5675,1.44,0.916321,0.91918
1.5089557,5950,1.49,1.02603,1.02979
4.15474,5897,,0.0580667,0.0580667
3.353728,4258,0.176644,,
28.574263,5544,0.214114,,
5.36865,3498,,0.0499019,0.0499019
4.263742,6031,0.115086,,
20.8133,5695.18,,0.169756,0.169756
5.419026,5815,0.120439,,
2.21857567,5040,1.138,1.14039,1.1436
443.4,4919,,2.76572,2.76572
11.829851,5654,0.113302,,
6.186676,5411,0.0999197,,
44.000529,4880,0.132929,,
1.796302,5580,0.110625,,
23.44281,5764,0.106165,,
41.749882,5513,0.276563,,
431.8,4984,,2.9072,2.9072
1928,5499,,4.46762,4.46762
10.105785,5983,0.11241,,
10.495711,6239,0.135605,,
18.684737,4257,0.172183,,
2.216726,6250,1.01,1.40552,1.40771
373.3,5091,,2.70016,2.70016
6.00253,6090,0.161477,,
258.18,5749.68,,1.56347,1.56347
29.198943,5381,0.375591,,
125.866438,5930,1.16335,,
3805.6705,5814.99,,1.9422,1.9422
70.459999,5079,,0.299187,0.299187
57.011,5155,,,
247.35373,4880,0.195379,,
18.119869,5208,0.282808,,
1951,5886,,18.3282,18.3282
41.397,3190,,0.297735,0.297735
1.592851,,0.146311,,
7.2037945,3974,0.242446,,
4.61442,5200,1.4,0.418184,0.41931
1008,5441,,6.59355,6.59355
5.90124,3793,0.1963,0,0
325.81,5836.08,,3.56392,3.56392
20.09,4648,0.211,,
4.20474,5590,1.26,0.478732,0.479479
3.2130598,4650,0.959,0.210772,0.210804
20.552802,5676,0.256936,,
2.382961,5428,0.157909,,
87.517905,5884,0.146311,,
408.6,5605,,2.24797,2.24797
11.03189,6184,0.130252,,
9.034199,4632,0.140066,,
5.715442,5228,0.218574,,
38.871826,5619,0.256044,,
4.159807,4632,0.0722634,,
17.460812,5100,0.194487,,
12.720359,6190,0.401105,0,0
75.29,5543,,0.768857,0.768857
1.354133,5227,1.168,1.34754,1.34915
466.2,6188.02,,1.32681,1.32681
3.922727,4800,0.792,0.242938,0.242991
3.9791,5924,1.13,1.02162,1.0245
58.43,4715,,0.0113953,0.0113953
1531,5869.88,,6.95913,6.95913
28.081912,5433,0.3292,,
8.005013,6402,0.142742,,
993.3,5076,,10.298,10.298
3.619337,5502,0.132037,,
12.0717249,3705,0.109635,,
5.66793,5904,0.155094,,
7.416755,4940,0.285485,,
4.617534,4503,0.138282,,
288.822,,0.764,0.22,0.220004
12.904532,4710,0.117763,,
550,5671,,1.98809,1.98809
2.024823,5867,0.0909983,,
2.5199449,6110,1.516,0.827536,0.918
4.1877537,5510,1.03,1.15082,1.15251
2.899703,5185,0.899,0.595021,0.595712
10.848463,4208,0.19181,,
3.33616,5100,0.146311,,
99.640161,5526,0.247123,,
9.220524,5602,0.0901062,,
16.934402,4648,0.11687,,
1278.1218,6212.65,,4.11582,4.11582
