PER,TEFF,R,MSINI,MASS
day,k,rjupiter,mjupiter,mjupiter
1214,5752,,1.40487,1.40487
163.94,5714,,5.00638,5.00638
35.676062,6165,0.297083,,
7.8773565,4075,0.187182,,
3.101278,5950,1.25,0.626643,0.62
4.57953,5852,0.14185,,
428.5,4428,,10.3722,10.3722
5571,,,2.24099,2.24099
5.6334729,6290,1.157,8.85612,8.87065
3.35524,6373,1.242,0.685652,0.685857
1405,6058,,4.7347,4.7347
3.312433,6387.49,,5.95,8.1356
13.821375,4984,0.156125,,
20.303005,5788,0.175752,,
1049,5836,,0.790506,0.790506
4.662715,5746,0.420198,,
,,,,0.0629
559.40487,5897,,3.06805,3.06805
19.57706,5466,0.0918085,0,0
17.790037,5574,0.251584,,
479.1,4200,,3.73203,3.73203
7.693641,6091,0.209653,,
7.055679,5299,0.198947,,
18.6489525,5858,0.257599,,
10.3039,5663,0.1604,0.01352,0.00597804
499.4,6076,,2.74209,2.74209
13.722341,5638,0.199661,,
31.3309,5400,0.436759,0,0
75.523,5793.95,,0.249652,0.249652
5.690586,5243,0.261397,,
4.885525,5933,1.478,0.436942,0.437758
5.0505,5519,,1.068,1.068
2.3412127,6075,1.3,1.08429,1.091
5.723186,6087,1.107,0.778006,0.779004
105.595,5623,0.387735,,
2831.6,5767,,1.60642,1.60642
66.5419,,,0.0108059,0.0135305
12.610584,6012,0.136497,,
1224,5928.79,,4.39876,4.39876
37.910254,5372,,0.0770689,0.0770689
52.09059,6189,0.677134,,
125.596809,5774,0.263181,,
471.6,4337,,7.12332,7.12332
201.3,6095,,1.0348,1.0348
4.8878162,4780,0.422,0.0825071,0.0825354
4.166972,5642,0.208761,,
8.25978,5117,0.120439,,
55.806,4969,,0.185935,0.185935
6.252972,5120,0.196271,,
10.104665,6075,0.120439,,
18.315,5401,,0.00848679,0.00848679
8.990889,5979,0.231956,,
17.934937,6435,0.122223,,
18.20132,5788.16,,3.57989,3.57989
33.197861,6023,0.164154,,
3416,,,0.644279,0.644279
46.827915,4486,0.215006,,
7.199,3350,,0.0171709,0.0171709
18.746477,5957,0.223035,,
3.89713,6090,1.29,1.10724,1.10792
40.806231,6158,0.297083,,
12.465988,6050,0.523686,,
2.024152,5790,0.177536,,
380,4513,,1.71662,1.71662
7.953528,4985,0.196271,,
4.215,5571,,0.016075,0.016075
10.475464,4465,0.174859,,
354.29,5000,,1.86459,1.86459
11.932125,5593,0.182889,,
3.056536,5860,1.274,0.671507,0.671507
4.124481,5588,1.024,4.07346,4.07833
30.864423,5739,0.213222,,
11.379349,5847,0.34169,,
6.511127,6033,0.237309,,
15.955387,5117,0.173967,,
3.2357,5214,,0.00354639,0.00354639
643.25,5784.28,,1.74552,1.74552
3.1260876,5140,1.16,1.00188,1.00657
377.8,5583.74,,2.4209,2.4209
12.162701,5600,0.14185,,
24.08821,4259,0.0990276,,
1.4857108,5781,1.33,2.47651,2.47943
1773.4,5387.61,,5.21486,5.21486
3.474474,6401,1.827,0.76507,0.766341
34.260281,5413,0.212329,,
3300,,,,0.04
111.7,3191,,2.11299,2.11299
1523,5467,,2.60901,2.60901
6.057342,5297,0.159693,,
13.5405,5774,0.199839,,
345.72,4962,,1.42633,1.42633
15.38231,5895,0.192702,,
1.43037,5620,1.31,2.08495,2.10232
1.732342,5774,0.117763,,
1882,,,0.830886,0.830886
36.445171,4263,0.173967,,
10.349695,6004,0.109733,,
7.810937,5776,0.0936747,,
41.008011,5311,0.202516,,
9.939632,5282,0.119547,,
17.232366,6089,0.262289,,
8.371554,6435,0.101704,,
4.4652934,5975,1.242,0.531143,0.532369
25.672083,6065,0.219467,,
2.4855335,6933,1.61,4.50213,4.57442
8.0109434,3705,0.187182,,
25.762294,6184,0.24177,,
19.986326,5826,0.236417,,
8.436387,5187,0.131145,,
17.91323,5436,0.107057,,
5.925003,5018,0.278348,,
3.53269,6000,1.12,0.559004,0.559059
2.1522254,5200,1.077,0.904818,0.908659
5.341853,5938,0.089214,,
9.439452,5100,0.364885,,
1155,5385.36,,0.357927,0.357927
5.217738,5524,0.0794005,,
60.3231,5498,1.09635,0,2.01385
3.763024,5106,0.130252,,
1311,5999.24,,1.2147,1.2147
4.3176782,5700,1.22,0.581308,0.583354
135.498527,5307,0.551343,,
361.1,5131,,1.14167,1.14167
3.21222,5302,1.08,2.14822,2.15137
2.795906,5243,0.152556,,
0.853585,5275,0.1498,0.0155646,0.0157999
792.6,4911,,1.47372,1.47372
35.118736,5526,0.246231,,
9.576694,5676,0.258721,,
33.416423,6012,0.21679,,
3.446459,5870,1.302,1.85957,1.86507
28.906009,4661,0.0624498,,
111.4367,5572.51,1.029,3.89024,3.89054
16.709184,4623,0.189134,,
2.455239,3820,0.96,0.510798,0.511499
5.398763,5793,0.205901,0.0238819,0.026183
9.694928,5895,0.189134,,
2.17517656,6100,1.7,0.877779,0.883997
190.323494,5854,0.729771,,
1475,6326,,6.62738,6.62738
107.723601,5885,0.347043,,
56.228098,4914,0.223927,,
219.3,5997.1,,1.58936,1.58936
20.306546,4321,0.146311,,
4.362705,5526,0.145419,,
19.446355,5816,0.270319,,
21.869741,6239,0.140958,,
45.348269,5577,0.100812,,
66.64,3498,,0.0191104,0.0191104
302.8,6097.36,,2.04683,2.04683
1862,5500.24,,0.68665,0.68665
24.3556,4975.16,,0.639382,0.639382
1920.1,5767,,3.50088,3.50088
31.805174,5852,0.244446,,
38.5583038,5858,0.282556,,
4.915379,5740,0.157909,,
8.921099,6090,0.123115,,
10.558345,5631,0.10438,,
1.30618581,5650,1.336,1.87299,1.91
2.061897,6021,0.14988,,
6.673859,5485,,3.87441,3.87441
45.29485,5627,0.198671,0,0
49.77,5599,,0.0565295,0.0565295
36.924931,5938,0.240878,,
9.653471,4731,0.245339,,
