# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
272,,,,,3.04000,0.68000,-0.68000,0,117.37,9.84,-11.83,0,2009
273,,,,,1.30000,0.10000,-0.10000,0,136.80,15.73,-20.43,0,2011
274,,,,,0.33000,,,0,86.88,6.30,-7.37,0,2006
275,,,,,9.10000,,,0,20.98,0.23,-0.23,0,2005
276,,,,,0.79000,0.07000,-0.07000,0,45.01,2.03,-2.23,0,2009
277,,,,,0.61000,,,0,33.24,1.22,-1.32,0,2002
278,,,,,0.68300,0.08800,-0.08800,0,33.24,1.22,-1.32,0,2002
279,,,,,0.62400,0.06300,-0.06300,0,33.24,1.22,-1.32,0,2005
280,,,,,2.30000,,,0,42.88,2.28,-2.55,0,2004
281,,,,,3.36600,0.07200,-0.07200,0,42.88,2.28,-2.55,0,2012
282,0.34000,0.02000,-0.02000,0,,,,,37.78,0.78,-0.82,0,2010
283,,,,,0.83900,0.03000,-0.03000,0,42.43,1.59,-1.72,0,2000
284,,,,,13.38000,0.39000,-0.39000,0,42.43,1.59,-1.72,0,2000
285,,,,,10.70000,0.50000,-0.50000,0,99.40,14.66,-20.79,0,2009
286,,,,,10.35000,,,0,18.21,0.15,-0.15,0,2001
287,,,,,0.01260,0.00250,-0.00220,0,12.83,0.09,-0.09,0,2008
288,,,,,0.02080,0.00350,-0.00310,0,12.83,0.09,-0.09,0,2008
289,,,,,0.02990,0.00530,-0.00470,0,12.83,0.09,-0.09,0,2008
290,,,,,0.01100,0.00440,-0.00440,0,12.83,0.09,-0.09,0,2012
291,,,,,0.01640,0.00470,-0.00500,0,12.83,0.09,-0.09,0,2012
292,,,,,0.02230,0.00820,-0.00820,0,12.83,0.09,-0.09,0,2012
293,,,,,4.01000,0.13000,-0.13000,0,33.33,0.89,-0.94,0,2002
294,,,,,2.54000,0.74000,-0.74000,0,43.03,1.81,-1.98,0,2004
295,,,,,18.37000,0.22000,-0.22000,0,43.03,1.81,-1.98,0,2003
296,,,,,0.03900,0.01300,-0.01700,0,52.03,2.05,-2.23,0,2013
297,,,,,0.02700,0.02000,-0.01600,0,52.03,2.05,-2.23,0,2013
298,,,,,0.60000,,,0,54.94,5.88,-7.48,0,2010
299,,,,,25.00000,,,0,37.05,1.11,-1.18,0,2008
300,,,,,2.49000,,,0,93.20,9.09,-11.30,0,2007
301,,,,,0.58000,,,0,50.43,2.47,-2.73,0,2010
302,,,,,0.18720,,,0,32.58,0.84,-0.88,0,2008
303,,,,,0.65790,,,0,32.58,0.84,-0.88,0,2008
304,,,,,1.79000,0.14000,-0.14000,0,48.95,2.24,-2.47,0,2004
305,,,,,0.47000,,,0,36.14,1.61,-1.77,0,2008
306,,,,,0.24900,,,0,33.41,1.15,-1.24,0,2000
307,,,,,0.07167,,,0,37.84,1.21,-1.29,0,2008
308,,,,,0.35061,,,0,37.84,1.21,-1.29,0,2008
309,,,,,5.00000,,,0,121.36,7.72,-8.85,0,2002
310,,,,,1.16000,0.38000,-0.38000,0,87.41,5.18,-5.87,0,2008
311,,,,,0.11500,0.01600,-0.01600,0,40.73,1.81,-1.98,0,2002
312,,,,,1.71000,0.02000,-0.02000,0,47.26,1.47,-1.57,0,2005
313,,,,,4.90000,,,0,31.03,0.94,-1.00,0,2002
314,,,,,1.13000,0.06000,-0.06000,0,28.07,0.65,-0.68,0,2000
315,,,,,1.03000,0.05000,-0.05000,0,25.70,0.43,-0.44,0,2008
316,,,,,2.46000,0.09000,-0.09000,0,25.70,0.43,-0.44,0,2008
317,,,,,0.38000,,,0,35.80,1.07,-1.14,0,2005
318,,,,,2.90000,0.10000,-0.10000,0,10.34,0.09,-0.09,0,2006
319,,,,,0.64000,0.05000,-0.05000,0,32.62,0.72,-0.75,0,2009
320,,,,,1.26000,0.04000,-0.04000,0,35.59,0.85,-0.90,0,2003
321,,,,,0.17000,0.03000,-0.03000,0,35.59,0.85,-0.90,0,2011
322,,,,,6.00000,0.30000,-0.30000,0,80.06,5.82,-6.82,0,2012
323,,,,,2.82000,0.27000,-0.27000,0,55.04,3.52,-4.03,0,2005
324,,,,,1.90000,,,0,58.82,3.14,-3.52,0,2001
325,,,,,0.03300,,,0,12.58,0.12,-0.12,0,2006
326,,,,,0.03800,,,0,12.58,0.12,-0.12,0,2006
327,,,,,0.05800,,,0,12.58,0.12,-0.12,0,2006
328,,,,,6.10000,0.40000,-0.40000,0,,,,,2007
329,,,,,2.00000,,,0,28.76,0.49,-0.50,0,2003
330,,,,,3.15000,0.14000,-0.14000,0,51.36,2.58,-2.87,0,2002
331,,,,,3.06000,0.07000,-0.07000,0,53.05,2.70,-3.00,0,2008
332,,,,,1.87000,,,0,36.52,1.00,-1.06,0,2003
333,,,,,2.25000,0.12000,-0.12000,0,94.61,8.25,-9.99,0,2002
334,,,,,2.25000,0.13000,-0.13000,0,94.61,8.25,-9.99,0,2005
335,,,,,1.15000,,,0,96.99,9.43,-11.70,0,2008
336,,,,,1.80000,0.06000,-0.06000,0,64.56,4.28,-4.93,0,2003
337,,,,,8.06000,0.37000,-0.37000,0,64.56,4.28,-4.93,0,2003
338,,,,,0.42000,,,0,28.94,0.46,-0.48,0,1999
339,,,,,2.51000,,,0,80.58,6.45,-7.68,0,2007
340,,,,,0.19700,0.01700,-0.01700,0,59.70,2.26,-2.45,0,2002
341,0.05000,0.01500,-0.01700,0,,,,,41.27,1.92,-2.11,0,2012
342,,,,,1.34000,0.07000,-0.07000,0,48.64,2.21,-2.43,0,2011
343,3.94000,0.11000,-0.11000,0,,,,,29.04,,,-1,2001
344,,,,,6.86000,0.71000,-0.71000,0,32.56,1.26,-1.37,0,2005
345,,,,,2.70000,,,0,88.26,6.09,-7.07,0,2007
346,1.68100,0.02800,-0.02800,0,,,,,27.46,0.62,-0.65,0,2003
347,1.95900,0.04700,-0.04700,0,,,,,27.46,0.62,-0.65,0,2003
348,,,,,1.30000,0.10000,-0.10000,0,112.23,10.50,-12.92,0,2011
349,,,,,0.39800,0.03500,-0.03500,0,43.53,1.64,-1.77,0,2002
350,,,,,0.13200,0.01100,-0.01100,0,33.96,0.94,-1.00,0,2009
351,,,,,0.01133,0.00157,-0.00157,0,11.15,0.10,-0.10,0,2011
352,,,,,1.50000,,,0,91.16,9.06,-11.30,0,2006
353,,,,,0.92000,0.10000,-0.10000,0,42.48,1.48,-1.59,0,2009
354,,,,,7.00000,1.60000,-1.60000,0,72.57,4.08,-4.59,0,2009
355,,,,,1.78000,0.34000,-0.34000,0,18.06,0.30,-0.31,0,2009
356,,,,,0.22000,,,0,74.46,5.92,-7.04,0,2004
357,,,,,1.78000,0.13000,-0.13000,0,30.88,0.92,-0.97,0,2009
358,,,,,8.44000,0.23000,-0.23000,0,38.99,1.04,-1.09,0,1999
359,,,,,0.05700,0.00500,-0.00500,0,22.09,0.36,-0.37,0,2009
360,,,,,3.86000,,,0,32.32,1.00,-1.07,0,2000
361,,,,,0.37000,,,0,28.90,0.81,-0.86,0,2005
362,5.00000,2.00000,-2.00000,0,,,,,91.57,4.62,-5.14,0,2013
363,,,,,1.20000,0.10000,-0.10000,0,149.03,19.67,-26.72,0,2009
364,,,,,0.90000,0.10000,-0.10000,0,132.80,16.39,-21.76,0,2011
365,,,,,0.68000,0.18000,-0.18000,0,84.03,8.22,-10.22,0,2009
366,,,,,4.00000,,,0,221.24,,,-1,2011
367,0.02400,0.00300,-0.00200,0,,,,,21.30,0.43,-0.45,0,2010
368,,,,,1.80000,0.10000,-0.10000,0,150.38,18.62,-24.75,0,2011
369,,,,,6.80000,0.50000,-0.50000,0,42.77,1.75,-1.91,0,2012
370,,,,,0.50200,0.07000,-0.07000,0,60.46,4.44,-5.20,0,2005
371,,,,,0.08700,0.00600,-0.00600,0,17.99,1.01,-1.14,0,2004
372,,,,,0.36000,0.06000,-0.06000,0,17.99,1.01,-1.14,0,2010
373,,,,,1.40000,0.10000,-0.10000,0,130.89,13.24,-16.60,0,2011
374,,,,,1.70000,0.10000,-0.20000,0,140.85,15.06,-19.16,0,2011
375,,,,,1.16000,0.03000,-0.03000,0,52.80,3.00,-3.38,0,2007
376,,,,,0.30000,,,0,30.50,0.87,-0.92,0,2005
377,,,,,0.17200,0.02000,-0.02000,0,42.00,1.41,-1.52,0,2005
378,,,,,0.45000,,,0,28.98,0.94,-1.01,0,2006
379,,,,,5.90000,0.20000,-0.20000,0,164.20,,,-1,2008
380,,,,,0.05000,0.00800,-0.00800,0,9.24,0.06,-0.06,0,2010
381,,,,,5.90000,0.30000,-0.30000,0,138.50,17.44,-23.31,0,2011
382,,,,,0.96000,0.05000,-0.05000,0,121.07,12.37,-15.55,0,2010
383,,,,,0.09800,0.00600,-0.00600,0,49.33,3.34,-3.86,0,2009
384,,,,,0.36700,0.02200,-0.02200,0,53.08,2.27,-2.48,0,2013
385,,,,,0.18600,0.01300,-0.01300,0,20.82,0.44,-0.46,0,2009
386,,,,,8.30000,,,0,102.04,5.14,-5.72,0,2003
387,,,,,6.92000,0.16000,-0.16000,0,37.44,1.23,-1.32,0,2002
388,,,,,11.00000,0.80000,-0.80000,0,87.87,7.23,-8.65,0,2011
389,,,,,9.61000,0.14000,-0.14000,0,36.36,1.93,-2.16,0,2012
390,11.00000,2.00000,-2.00000,0,,,,,91.83,7.01,-8.27,0,2013
391,,,,,0.21000,0.03600,-0.03600,0,51.26,2.50,-2.77,0,2005
392,,,,,0.26100,0.04000,-0.04000,0,38.56,1.00,-1.05,0,2002
393,,,,,2.60000,0.20000,-0.20000,0,138.50,18.02,-24.36,0,2011
394,,,,,1.29000,0.06000,-0.06000,0,68.54,5.37,-6.37,0,2002
395,,,,,0.99000,0.06000,-0.06000,0,68.54,5.37,-6.37,0,2005
396,,,,,0.77000,0.09000,-0.09000,0,65.62,3.16,-3.49,0,2010
397,,,,,0.05400,0.00400,-0.00400,0,56.92,2.89,-3.22,0,2013
398,,,,,0.07600,0.00700,-0.00700,0,56.92,2.89,-3.22,0,2013
399,,,,,0.28000,0.01600,-0.01600,0,59.03,5.98,-7.50,0,2005
400,,,,,11.09000,1.00000,-1.00000,0,97.66,7.73,-9.18,0,2009
401,,,,,6.84000,0.98000,-0.98000,0,28.88,0.65,-0.68,0,2003
402,,,,,2.83000,0.24000,-0.24000,0,37.42,0.73,-0.76,0,2013
403,,,,,0.27000,0.08000,-0.08000,0,15.71,0.32,-0.34,0,2010
404,,,,,0.71000,0.06000,-0.06000,0,15.71,0.32,-0.34,0,2010
405,,,,,1.24000,,,0,28.04,1.00,-1.08,0,2003
406,,,,,0.48000,0.04000,-0.04000,0,20.48,0.33,-0.34,0,2014
407,,,,,11.68000,0.96000,-0.96000,0,40.57,2.24,-2.52,0,1989
408,,,,,1.10000,0.06000,-0.06000,0,20.43,0.43,-0.45,0,2001
409,,,,,0.95000,0.10000,-0.10000,0,35.00,1.15,-1.23,0,2002
410,,,,,2.10000,0.20000,-0.20000,0,110.62,10.82,-13.45,0,2011
411,,,,,1.88000,0.17000,-0.17000,0,33.01,0.97,-1.03,0,2004
412,,,,,0.17800,0.02100,-0.02100,0,38.02,1.30,-1.39,0,2004
413,,,,,2.13000,,,0,88.57,6.00,-6.94,0,2005
414,,,,,4.50000,,,0,97.66,4.46,-4.91,0,2013
415,,,,,1.22000,,,0,44.37,1.72,-1.87,0,2003
416,,,,,3.00000,,,0,52.83,3.64,-4.22,0,2007
417,,,,,0.05800,,,0,52.83,3.64,-4.22,0,2009
418,,,,,7.20000,,,0,52.83,3.64,-4.22,0,2009
419,,,,,0.04100,0.00400,-0.00400,0,27.45,0.88,-0.94,0,2009
420,,,,,0.38000,0.04000,-0.04000,0,68.35,4.98,-5.83,0,2009
421,,,,,1.45000,0.13000,-0.13000,0,16.57,0.27,-0.28,0,2002
422,,,,,3.24000,0.10000,-0.10000,0,16.57,0.27,-0.28,0,2005
423,,,,,1.60000,0.60000,-0.60000,0,67.61,4.80,-5.59,0,2009
424,,,,,1.04000,0.03000,-0.03000,0,29.76,1.28,-1.40,0,1999
425,,,,,2.20000,0.20000,-0.20000,0,121.36,12.90,-16.38,0,2011
426,,,,,5.61000,,,0,70.97,3.68,-4.10,0,2007
427,,,,,1.49000,0.09000,-0.09000,0,98.52,16.28,-24.33,0,2011
428,,,,,18.15000,0.35000,-0.35000,0,57.21,2.80,-3.11,0,2008
429,,,,,1.59000,0.02000,-0.02000,0,25.65,0.63,-0.66,0,1999
430,,,,,0.82000,0.03000,-0.03000,0,25.65,0.63,-0.66,0,2009
431,,,,,2.00000,0.10000,-0.10000,0,106.38,7.57,-8.82,0,2009
432,,,,,9.76000,2.15000,-2.15000,0,121.36,7.46,-8.51,0,2008
433,,,,,0.22300,0.02900,-0.02900,0,38.45,2.59,-2.99,0,2011
434,,,,,9.70000,,,0,33.46,1.17,-1.25,0,2002
435,,,,,1.90000,0.20000,-0.20000,0,106.38,9.67,-11.82,0,2011
436,,,,,1.62000,,,0,34.57,0.98,-1.03,0,2003
437,,,,,3.12000,1.44000,-1.44000,0,59.35,4.19,-4.88,0,2008
438,,,,,2.90000,,,0,126.10,10.63,-12.78,0,2010
439,,,,,5.10000,2.60000,-1.50000,0,35.87,0.85,-0.90,0,2005
440,,,,,5.76000,0.10000,-0.10000,0,55.19,3.16,-3.57,0,2008
441,,,,,2.12000,0.07000,-0.07000,0,42.68,1.66,-1.80,0,2009
442,,,,,6.56000,0.32000,-0.32000,0,42.68,1.66,-1.80,0,2009
443,,,,,1.21000,,,0,12.87,0.14,-0.14,0,2003
444,,,,,0.85000,0.67000,-0.05000,0,53.05,2.75,-3.07,0,2009
445,,,,,0.96000,0.10000,-0.10000,0,59.28,3.19,-3.58,0,2009
446,0.36800,0.01300,-0.01400,0,,,,,78.86,4.62,-5.24,0,2005
447,,,,,1.33000,,,0,63.49,4.04,-4.63,0,2005
448,,,,,3.00000,2.00000,-2.00000,0,85.18,9.19,-11.72,0,2009
449,,,,,1.50000,0.10000,-0.10000,0,182.82,31.76,-48.67,0,2011
450,,,,,2.73000,0.05000,-0.05000,0,51.87,3.18,-3.63,0,2008
451,,,,,0.94700,0.09000,-0.09000,0,18.06,0.18,-0.18,0,2006
452,,,,,5.02000,0.17000,-0.17000,0,65.79,4.48,-5.18,0,2008
453,,,,,2.24000,0.05000,-0.05000,0,68.54,4.02,-4.56,0,2004
454,,,,,2.58000,0.16000,-0.16000,0,68.54,4.02,-4.56,0,2014
455,,,,,0.85000,0.05000,-0.05000,0,43.40,1.26,-1.34,0,2007
456,,,,,0.82000,0.07000,-0.07000,0,43.40,1.26,-1.34,0,2007
457,,,,,9.71000,0.66000,-0.66000,0,35.37,0.76,-0.79,0,2011
458,,,,,0.75000,,,0,55.10,2.41,-2.64,0,2009
459,,,,,0.01300,0.00200,-0.00200,0,24.05,0.59,-0.62,0,2010
460,,,,,10.57000,0.29000,-0.29000,0,49.00,2.13,-2.34,0,2007
461,,,,,1.80000,0.20000,-0.20000,0,114.15,10.20,-12.43,0,2011
462,,,,,1.13000,0.05000,-0.05000,0,68.59,5.42,-6.43,0,2013
463,,,,,1.90000,0.13000,-0.13000,0,68.59,5.42,-6.43,0,2013
464,,,,,2.10000,0.11000,-0.11000,0,52.72,2.82,-3.15,0,2006
465,,,,,0.73000,0.05000,-0.05000,0,52.72,2.82,-3.15,0,2012
466,1.67600,,,0,,,,,15.28,0.18,-0.19,0,2000
467,,,,,1.81400,,,0,15.28,0.18,-0.19,0,2004
468,0.03321,,,0,,,,,15.28,0.18,-0.19,0,2004
469,0.52190,,,0,,,,,15.28,0.18,-0.19,0,2006
470,,,,,14.40000,,,0,31.26,1.38,-1.52,0,2002
471,,,,,0.77000,0.04000,-0.04000,0,69.44,2.95,-3.23,0,2010
472,,,,,2.29000,,,0,69.44,2.95,-3.23,0,2010
473,,,,,0.48000,,,0,51.81,2.72,-3.04,0,2010
474,,,,,0.36000,0.04600,-0.04600,0,21.92,0.34,-0.35,0,2005
475,,,,,2.70000,1.30000,-1.30000,0,37.98,2.48,-2.85,0,2009
476,,,,,3.53000,0.11000,-0.11000,0,42.99,2.54,-2.88,0,2012
477,,,,,1.70000,0.09000,-0.12000,0,50.00,1.24,-1.31,0,2007
478,,,,,8.02000,0.65000,-0.65000,0,37.88,1.18,-1.26,0,1998
479,,,,,18.10000,1.50000,-1.50000,0,37.88,1.18,-1.26,0,2000
480,,,,,0.23000,,,0,43.12,1.71,-1.86,0,2002
481,,,,,2.88000,,,0,36.32,1.16,-1.24,0,2000
482,,,,,4.04000,,,0,36.32,1.16,-1.24,0,2003
483,,,,,0.67000,,,0,64.98,4.37,-5.05,0,2007
484,,,,,1.83000,,,0,,,,,2007
485,,,,,2.60000,0.15000,-0.15000,0,44.05,2.33,-2.61,0,2009
486,,,,,2.70000,0.30000,-0.30000,0,134.95,9.01,-10.40,0,2008
487,,,,,7.80000,3.50000,-3.50000,0,67.02,3.85,-4.35,0,2009
488,,,,,0.61000,,,0,127.55,16.07,-21.48,0,2007
489,,,,,1.49000,0.03000,-0.03000,0,59.03,2.54,-2.77,0,1999
490,,,,,0.15000,0.02000,-0.02000,0,59.03,2.54,-2.77,0,2010
491,,,,,7.03000,0.28000,-0.28000,0,46.73,8.78,-14.06,0,2001
492,,,,,0.08000,,,0,63.69,3.60,-4.06,0,2008
493,,,,,0.95000,0.04000,-0.04000,0,27.05,0.57,-0.60,0,2000
494,22.00000,,,0,,,,,131.75,10.25,-12.13,0,2010
495,,,,,1.60000,0.20000,-0.20000,0,114.55,11.77,-14.82,0,2009
496,,,,,3.30000,0.20000,-0.20000,0,115.47,11.09,-13.73,0,2009
497,,,,,0.37000,,,0,55.93,3.82,-4.42,0,2009
498,,,,,0.02380,,,0,26.15,0.76,-0.81,0,2008
499,,,,,0.64000,,,0,26.15,0.76,-0.81,0,2008
500,,,,,0.54000,,,0,26.15,0.76,-0.81,0,2008
501,,,,,3.69000,,,0,52.83,2.80,-3.13,0,2004
502,,,,,3.82000,0.59000,-0.59000,0,52.83,2.80,-3.13,0,2008
503,,,,,0.94000,,,0,47.37,1.60,-1.72,0,2006
504,,,,,0.52000,,,0,47.92,1.58,-1.69,0,1998
505,,,,,1.99000,0.25000,-0.25000,0,47.92,1.58,-1.69,0,1999
506,,,,,0.75000,,,0,44.98,2.19,-2.43,0,2006
507,,,,,1.26000,,,0,52.63,2.51,-2.77,0,2004
508,1.15000,0.03900,-0.03900,0,,,,,19.25,0.32,-0.33,0,2005
509,,,,,5.93000,0.20000,-0.20000,0,62.11,2.97,-3.29,0,2002
510,,,,,1.50200,0.13000,-0.13000,0,15.89,0.16,-0.16,0,2003
511,,,,,0.05700,0.01500,-0.01500,0,15.89,0.16,-0.16,0,2005
512,,,,,1.90000,0.06000,-0.06000,0,54.23,3.05,-3.44,0,2007
513,,,,,3.10000,,,0,189.39,36.26,-58.74,0,2009
514,,,,,0.72000,,,0,19.89,0.44,-0.46,0,1999
515,,,,,0.05318,0.00283,-0.00283,0,8.82,0.07,-0.07,0,2011
516,,,,,0.07552,0.01573,-0.01573,0,8.82,0.07,-0.07,0,2011
517,,,,,2.50000,,,0,67.39,3.89,-4.40,0,2007
518,,,,,3.70000,0.30000,-0.30000,0,37.35,1.20,-1.28,0,1999
519,,,,,3.00000,,,0,46.93,1.92,-2.09,0,2002
520,,,,,6.90000,3.90000,-1.10000,0,43.57,3.65,-4.39,0,2012
521,,,,,2.58000,0.16000,-0.16000,0,32.99,0.86,-0.91,0,2007
522,,,,,0.79000,0.05000,-0.05000,0,32.83,0.63,-0.66,0,2011
523,,,,,1.85000,0.14000,-0.08000,0,68.35,4.50,-5.18,0,2010
524,,,,,0.89500,0.12300,-0.06300,0,68.35,4.50,-5.18,0,2010
525,,,,,17.40000,,,0,46.34,2.33,-2.58,0,2002
526,,,,,2.44000,,,0,46.34,2.33,-2.58,0,2004
527,24.09000,8.37900,-11.52100,0,,,,,40.85,1.68,-1.83,0,2006
528,,,,,4.05000,0.17000,-0.17000,0,47.30,2.26,-2.50,0,2009
529,,,,,1.68000,0.30000,-0.30000,0,47.30,2.26,-2.50,0,2012
530,,,,,0.26600,0.03200,-0.03200,0,26.95,0.88,-0.95,0,2011
531,,,,,1.37000,0.07000,-0.09000,0,90.33,8.30,-10.17,0,2008
532,,,,,2.20000,0.10000,-0.10000,0,170.07,27.01,-39.58,0,2009
533,0.56000,0.06000,-0.03000,0,,,,,55.31,3.42,-3.90,0,2012
534,0.73000,0.18000,-0.05000,0,,,,,55.31,3.42,-3.90,0,2012
535,,,,,9.90000,1.70000,-1.70000,0,352.11,75.10,-130.98,0,2012
536,,,,,0.45000,0.05000,-0.05000,0,43.99,1.87,-2.05,0,2004
537,0.71400,0.01700,-0.01700,0,,,,,47.08,2.12,-2.33,0,1999
538,,,,,1.23000,0.03000,-0.03000,0,21.29,0.35,-0.36,0,1998
539,1.90000,,,0,,,,,55.93,2.22,-2.41,0,2007
540,,,,,2.30000,0.40000,-0.40000,0,121.80,13.93,-18.06,0,2009
541,,,,,0.45000,,,0,52.72,1.95,-2.11,0,2005
542,,,,,4.50000,,,0,40.75,1.30,-1.39,0,2001
543,,,,,0.01700,,,0,43.53,2.25,-2.51,0,2009
544,,,,,0.33000,,,0,43.53,2.25,-2.51,0,2009
545,,,,,1.26000,0.13000,-0.13000,0,33.29,0.79,-0.83,0,2002
546,,,,,2.10000,,,0,26.52,0.40,-0.41,0,2002
547,,,,,0.65000,,,0,37.89,1.46,-1.59,0,2003
548,,,,,1.39000,0.11000,-0.11000,0,19.72,0.29,-0.30,0,1998
549,,,,,2.60000,0.15000,-0.15000,0,19.72,0.29,-0.30,0,2005
550,,,,,13.00000,0.80000,-0.80000,0,54.92,2.78,-3.09,0,2010
551,,,,,0.21000,0.02000,-0.02000,0,29.94,1.03,-1.11,0,2010
552,,,,,10.39000,0.09000,-0.09000,0,29.20,0.51,-0.53,0,2012
553,1.00000,,,0,,,,,,,,,2012
554,,,,,0.06000,,,0,81.10,6.14,-7.24,0,2007
555,,,,,11.10000,1.80000,-1.80000,0,289.02,42.71,-60.63,0,2012
556,,,,,1.06000,0.09000,-0.09000,0,45.23,1.81,-1.96,0,2012
557,,,,,1.45000,0.30000,-0.30000,0,48.43,2.32,-2.57,0,2011
558,,,,,3.09000,0.79000,-0.79000,0,52.88,2.20,-2.40,0,2007
559,,,,,1.90000,0.67000,-0.53000,0,50.45,2.00,-2.18,0,2011
560,,,,,7.75000,0.65000,-0.65000,0,41.95,1.87,-2.05,0,1999
561,,,,,0.71000,,,0,94.07,9.33,-11.64,0,2006
562,,,,,1.08000,,,0,108.46,11.94,-15.30,0,2007
563,,,,,6.57500,,,0,,,,,2013
564,,,,,6.90000,,,0,,,,,2009
565,,,,,5.30000,,,0,307.69,,,-1,2011
566,,,,,2.54000,,,0,54.92,4.02,-4.72,0,2009
567,,,,,0.02650,,,0,9.42,0.22,-0.23,0,2008
568,,,,,0.76000,,,0,50.20,3.49,-4.06,0,2004
569,,,,,1.42000,,,0,44.80,3.89,-4.70,0,2009
570,15.04000,10.55000,-10.55000,0,,,,,44.80,3.89,-4.70,0,2011
571,,,,,0.47000,,,0,23.80,0.86,-0.93,0,2010
572,,,,,3.88000,0.32000,-0.32000,0,52.88,3.77,-4.39,0,2005
573,,,,,1.28000,0.10000,-0.10000,0,52.88,3.77,-4.39,0,2006
574,,,,,0.57000,0.05200,-0.05200,0,52.88,3.77,-4.39,0,2009
575,,,,,0.29800,0.02500,-0.02500,0,11.03,0.36,-0.38,0,2010
576,,,,,0.03600,,,0,25.87,0.71,-0.75,0,2011
577,,,,,0.41000,,,0,25.87,0.71,-0.75,0,2011
578,,,,,0.52700,,,0,25.87,0.71,-0.75,0,2011
579,6.28536,,,0,,,,,11.43,0.19,-0.20,0,2010
580,,,,,9.18000,,,0,149.25,13.94,-17.14,0,2013
581,,,,,9.00000,6.00000,-6.00000,0,23.98,1.11,-1.22,0,2009
582,,,,,8.82000,0.72000,-0.72000,0,31.33,0.49,-0.51,0,2002
583,23.04000,4.00000,-4.00000,0,,,,,131.93,14.28,-18.22,0,2010
584,,,,,2.10000,,,0,14.90,0.75,-0.83,0,2009
585,,,,,1.06800,0.03800,-0.03800,0,44.46,1.38,-1.47,0,2013
586,,,,,1.94000,0.18000,-0.18000,0,17.24,0.16,-0.17,0,1999
587,7.00000,4.00000,-2.00000,0,,,,,39.94,1.31,-1.40,0,2008
588,10.00000,3.00000,-3.00000,0,,,,,39.94,1.31,-1.40,0,2008
589,10.00000,3.00000,-3.00000,0,,,,,39.94,1.31,-1.40,0,2008
590,,,,,,,,,39.94,1.31,-1.40,0,2010
591,27.23000,0.50000,-0.48000,0,,,,,262.00,14.00,-14.00,0,2012
592,1.52200,0.07800,-0.07700,0,,,,,124.22,16.58,-22.62,0,2012
593,1.47700,0.06600,-0.06400,0,1.47000,0.06500,-0.06400,0,178.00,16.00,-16.00,0,2013
594,0.43000,0.04500,-0.04600,0,,,,,222.00,8.00,-8.00,0,2014
595,1.19900,0.05200,-0.05200,0,,,,,213.00,11.00,-11.00,0,2006
596,1.77600,0.07700,-0.07700,0,,,,,320.00,50.00,-40.00,0,2008
597,0.08100,0.00900,-0.00900,0,,,,,38.00,1.30,-1.30,0,2008
598,0.07700,0.01200,-0.01200,0,,,,,550.00,80.00,-80.00,0,2009
599,2.11400,0.05600,-0.05900,0,,,,,,,,,2009
600,0.66900,0.02500,-0.03000,0,,,,,,,,,2009
601,0.43300,0.04000,-0.04100,0,,,,,,,,,2009
602,0.60300,0.13000,-0.19000,0,,,,,1330.00,180.00,-180.00,0,2010
603,0.25200,0.01300,-0.01300,0,,,,,650.00,,,0,2010
604,0.17100,0.01300,-0.01300,0,,,,,650.00,,,0,2010
605,,,,,,,,,650.00,,,0,2010
606,0.01400,0.00400,-0.00400,0,,,,,173.00,27.00,-27.00,0,2011
607,0.06300,,,1,,,,,173.00,27.00,-27.00,0,2011
608,0.00600,0.00400,-0.00300,0,,,,,613.00,,,0,2010
609,0.00900,0.00900,-0.00500,0,,,,,613.00,,,0,2010
610,0.02300,0.00300,-0.00500,0,,,,,613.00,,,0,2010
611,0.02500,0.00500,-0.00700,0,,,,,613.00,,,0,2010
612,0.00600,0.00300,-0.00300,0,,,,,613.00,,,0,2010
613,0.07900,,,1,,,,,613.00,,,0,2010
614,0.43100,0.04100,-0.04000,0,,,,,600.00,,,0,2011
615,,,,,,,,,,,,,2011
616,8.40000,0.35000,-0.34000,0,,,,,980.00,,,0,2011
617,0.66000,0.08000,-0.09000,0,,,,,,,,,2011
618,0.33300,0.01600,-0.01600,0,,,,,61.00,,,0,2011
619,2.45000,0.11000,-0.11000,0,,,,,800.00,100.00,-100.00,0,2011
620,0.02200,0.01100,-0.01100,0,,,,,,,,,2011
