# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
69,7.50000,2.50000,-2.50000,0,,,,,140.00,,,0,2010
70,4.00000,1.00000,-1.00000,0,,,,,52.40,1.10,-1.10,0,2004
71,20.95000,83.79000,-20.95000,0,,,,,25.00,10.00,-10.00,0,2009
72,,,,,5.10000,0.12000,-0.12000,0,37.54,1.87,-2.08,0,2008
73,,,,,10.60000,,,0,,,,,2007
74,0.45800,0.03900,-0.03900,0,,,,,80.00,10.00,-10.00,0,2000
75,,,,,0.04500,0.00700,-0.00700,0,42.09,2.67,-3.06,0,2009
76,,,,,0.33000,0.03000,-0.03000,0,42.09,2.67,-3.06,0,2009
77,,,,,0.02700,0.00400,-0.00400,0,20.10,0.65,-0.69,0,2013
78,,,,,0.17000,0.03000,-0.03000,0,20.10,0.65,-0.69,0,2013
79,,,,,1.47000,,,0,50.03,3.73,-4.38,0,2009
80,,,,,1.11000,,,0,175.44,,,-1,2013
81,,,,,21.42000,,,0,,,,,2009
82,,,,,12.47000,,,0,,,,,2009
83,4.20000,,,0,,,,,,,,,2012
84,,,,,0.91000,,,0,,,,,2011
85,10.50000,4.50000,-4.50000,0,,,,,23.10,2.40,-2.40,0,2011
86,12.56900,8.37900,-5.23700,0,,,,,,,,,2006
87,1.03000,0.12000,-0.12000,0,,,,,,,,,2008
88,3.47000,0.22000,-0.22000,0,,,,,200.00,,,0,2008
89,21.66000,1.00000,-1.00000,0,,,,,680.00,160.00,-160.00,0,2008
90,0.72000,0.08000,-0.08000,0,,,,,,,,,2008
91,0.46700,0.04700,-0.02400,0,,,,,,,,,2009
92,2.96000,0.34000,-0.34000,0,,,,,,,,,2009
93,0.01500,0.00300,-0.00300,0,,,,,150.00,20.00,-20.00,0,2009
94,0.02600,0.00300,-0.00300,0,,,,,150.00,20.00,-20.00,0,2009
95,0.22000,0.03000,-0.03000,0,,,,,380.00,30.00,-30.00,0,2010
96,0.84000,0.07000,-0.07000,0,,,,,460.00,,,0,2009
97,2.75000,0.16000,-0.16000,0,,,,,345.00,70.00,-70.00,0,2010
98,2.33000,0.34000,-0.34000,0,,,,,560.00,30.00,-30.00,0,2010
99,0.91700,0.07000,-0.06500,0,,,,,1150.00,85.00,-85.00,0,2010
100,1.30800,0.06600,-0.06600,0,,,,,1060.00,100.00,-100.00,0,2010
101,7.60000,0.60000,-0.60000,0,,,,,1340.00,110.00,-110.00,0,2010
102,0.53500,0.08500,-0.08300,0,,,,,840.00,90.00,-90.00,0,2011
103,2.43000,0.30000,-0.30000,0,,,,,920.00,50.00,-50.00,0,2011
104,3.47000,0.38000,-0.38000,0,,,,,870.00,90.00,-90.00,0,2011
105,1.11000,0.06000,-0.06000,0,,,,,770.00,160.00,-160.00,0,2011
106,4.24000,0.23000,-0.23000,0,,,,,1230.00,120.00,-120.00,0,2011
107,2.80000,0.30000,-0.30000,0,,,,,600.00,50.00,-50.00,0,2011
108,10.39000,0.55000,-0.55000,0,,,,,,,,,2014
109,28.50000,1.90000,-1.90000,0,,,,,20.77,0.08,-0.08,0,2013
110,,,,,3.91000,0.32000,-0.32000,0,10.91,0.07,-0.07,0,1999
111,,,,,0.03500,,,0,14.97,0.44,-0.46,0,2013
112,,,,,0.02400,,,0,14.97,0.44,-0.46,0,2013
113,,,,,0.07900,,,0,14.97,0.44,-0.46,0,2013
114,,,,,0.82000,0.07000,-0.07000,0,12.12,0.56,-0.62,0,2009
115,2.50000,0.70000,-0.40000,0,1.89400,0.01300,-0.01300,0,15.10,0.22,-0.22,0,2007
116,,,,,2.30000,0.13000,-0.13000,0,20.03,0.85,-0.92,0,2013
117,,,,,0.01800,,,0,9.04,0.14,-0.15,0,2011
118,0.07290,0.00250,-0.00250,0,,,,,10.23,0.23,-0.24,0,2004
119,4.00000,4.50000,-1.00000,0,,,,,17.95,0.27,-0.28,0,2013
120,,,,,0.04900,,,0,6.27,0.09,-0.09,0,2005
121,,,,,0.01700,,,0,6.27,0.09,-0.09,0,2005
122,,,,,0.02200,,,0,6.27,0.09,-0.09,0,2005
123,,,,,0.00600,,,0,6.27,0.09,-0.09,0,2005
124,,,,,0.32800,0.03200,-0.03200,0,10.32,0.16,-0.16,0,2009
125,,,,,0.01800,0.00400,-0.00400,0,6.80,,,0,2011
126,,,,,0.01200,0.00500,-0.00400,0,6.80,,,0,2011
127,,,,,0.01600,0.00600,-0.00500,0,6.80,,,0,2013
128,,,,,0.00800,0.00500,-0.00400,0,6.80,,,0,2013
129,,,,,0.00800,0.00400,-0.00400,0,6.80,,,0,2013
130,,,,,0.01400,0.00800,-0.00700,0,6.80,,,0,2013
131,,,,,0.03500,,,0,4.54,0.03,-0.03,0,2007
132,,,,,4.95000,0.31000,-0.31000,0,16.13,0.46,-0.49,0,2010
133,,,,,0.01400,0.00200,-0.00200,0,16.13,0.46,-0.49,0,2012
134,,,,,0.03600,0.00500,-0.00500,0,16.13,0.46,-0.49,0,2012
135,,,,,0.64000,0.06000,-0.06000,0,4.94,0.03,-0.03,0,2008
136,,,,,0.91000,,,0,8.77,0.16,-0.17,0,2006
137,2.27560,0.00450,-0.00450,0,,,,,4.70,0.05,-0.05,0,1998
