pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
380.85,,1.99,,K3/4 III/V,,380.85,121044.8445,NaN,2,,
121.71,,1.54,,K3 III,,121.71,38682.86207,NaN,2,,
6.24658,0.88,,1.384,K3,,6.24658,279.688757,15.15614411,2,,
225.7,,0.21,,K3 V,,225.7,71733.80962,NaN,2,,
567,,0.33,,K3 V,,567,180208.5514,NaN,2,,
3.93,,0.017,,K3 V,,3.93,1249.064563,NaN,2,,
525.8,,0.07552,,K3 V,,525.8,167114.0323,NaN,2,,
74.72,,0.05318,,K3 V,,74.72,23748.1181,NaN,2,,
4.6455,,0.013,,K3 V,,4.6455,1476.470592,NaN,2,,
937.7,,1.24,,K3 V,,937.7,298027.4403,NaN,2,,
4970,,0.36,,K2/4,,4970,1579605.821,NaN,2,,
17.054,,0.087,,K2/4,,17.054,5420.24098,NaN,2,,
143.58,,0.37,,K3 V,,143.58,45633.76334,NaN,2,,
2.875317,7.246,,0.867,K3,,2.875317,2302.982652,9.494492013,2,,
237.6,,0.33,,K3 V,,237.6,75515.9644,NaN,2,,
5.6,,0.045,,K3 V,,5.6,1779.837545,NaN,2,,
923.8,,3.24,,K3- V,,923.8,293609.6293,NaN,2,,
454.2,,1.45,,K3- V,,454.2,144357.538,NaN,2,,
1657,,0.71,,K5/M0 V,,1657,526641.2164,NaN,1,,
263.3,,0.27,,K5/M0 V,,263.3,83684.14742,NaN,1,,
2754,,1.78,,K2.5 V,,2754,875298.6783,NaN,2,,
197.8,,0.0223,,K2.5 V,,197.8,62866.40471,NaN,2,,
51.76,,0.0164,,K2.5 V,,51.76,16450.78416,NaN,2,,
34.62,,0.011,,K2.5 V,,34.62,11003.20996,NaN,2,,
20.432,,0.0299,,K2.5 V,,20.432,6493.864413,NaN,2,,
9.6184,,0.0208,,K2.5 V,,9.6184,3056.998114,NaN,2,,
4.3123,,0.0126,,K2.5 V,,4.3123,1370.570258,NaN,2,,
1.0187068,1.12,,1.363,K2 V,,1.0187068,355.967509,14.92617372,2,,
1.7497798,0.46,,1.27,K2 V,,1.7497798,146.2009412,13.9077334,2,,
4.0161,0.55,,1.051,K2 V,,4.0161,174.8054732,11.50947071,2,,
267.291,0.11,,0.126,K2 V,,267.291,34.96109463,1.379822369,2,,
122.3874,0.113,,0.144,K2 V,,122.3874,35.91457903,1.57693985,2,,
18.16406,0.044,,0.174,K2 V,,18.16406,13.98443785,1.905468985,2,,
12.4417,0.013,,0.048,K2 V,,12.4417,4.131765729,0.525646617,2,,
5.714932,0.03,,0.117,K2 V,,5.714932,9.53484399,1.281263628,2,,
511.098,,8.82,,K2 III,,511.098,162441.3231,NaN,2,,
745.7,,5.3,,K2,,745.7,237004.4388,NaN,2,,
2.21857578,1.15,,1.151,K2 V,,2.21857578,365.502353,12.60456783,2,,
2172,,0.54,,K2 IV/V,,2172,690322.7049,NaN,2,,
962,,0.64,,K2 IV/V,,962,305750.6639,NaN,2,,
9.3743,,0.0238,,K2 IV/V,,9.3743,2979.416267,NaN,2,,
606.4,,2.7,,K1/3,,606.4,192730.9799,NaN,2,,
8.428198,,14.4,,K2 (V),,8.428198,2678.718435,NaN,2,,
330,,0.223,,K2 IV,,330,104883.2839,NaN,2,,
835.477,,11.09,,K2 III,,835.477,265538.0951,NaN,2,,
55.806,,0.186,,K2 V,,55.806,17736.71679,NaN,2,,
127.58,,5.9,,K2,,127.58,40548.51321,NaN,2,,
647.3,,4,,K2,,647.3,205730.1505,NaN,2,,
480.5,,6,,K2 III,,480.5,152716.4179,NaN,2,,
17.991,,0.62,,K2 V,,17.991,5718.045941,NaN,2,,
471.6,,14,,K2,,471.6,149887.7475,NaN,2,,
5.508023,0.197,,0.995,K2,,5.508023,62.6121422,10.89621632,2,,
621.99,,12.47,,K2 II,,621.99,197685.9204,NaN,2,,
379.63,,21.42,,K2 II,,379.63,120657.0941,NaN,2,,
268.94,,1.47,,K2 V,,268.94,85476.69809,NaN,2,,
305.5,,20.6,,K2 III,,305.5,97096.49463,NaN,2,,
417.9,6.7,,,K2 III,,417.9,2129.448491,NaN,2,,
2502,,1.55,,K2 V,,2502,795205.9888,NaN,2,,
,13.5,,,K2 V,,NaN,4290.679796,NaN,2,,
1733,,0.266,,K1/2 V,,1733,550796.1545,NaN,2,,
24.348,,0.72,,K1/2 V,,24.348,7738.479382,NaN,2,,
423.841,,1.28,,K1/2 III,,423.841,134708.5937,NaN,2,,
479.1,,3.88,,K1.5 III,,479.1,152271.4585,NaN,2,,
2.152226,0.914,,1.117,K1 V,,2.152226,290.4949136,12.23223481,2,,
420.77,,1.7,,K1 IV,,420.77,133732.5435,NaN,2,,
493.7,,1.1,,K1 V,,493.7,156911.7493,NaN,2,,
47.84,,0.098,,K1 V(P),,47.84,15204.89788,NaN,2,,
70.46,,0.3,,K1 V,,70.46,22394.17025,NaN,2,,
9.4903,0.024,,0.2,K1,,9.4903,7.627875192,2.190194236,2,,
788,,0.132,,K1 V,,788,250448.5688,NaN,2,,
430,,5,,K1 III,,430,136666.0972,NaN,2,,
2371,,25,,K1 IV,,2371,753570.5033,NaN,2,,
157.54,,3.04,,K1 III,,157.54,50070.64407,NaN,2,,
3.4442,,0.48,,K1 V,,3.4442,1094.663656,NaN,2,,
533,,6.1,,K1 (III),,533,169402.3949,NaN,2,,
4.234516,0.059,,0.565,K1,,4.234516,18.75185985,6.187298717,2,,
4.008778,0.292,,1.132,K1,,4.008778,92.80581484,12.39649938,2,,
15.76491,,3.91,,K1 V,,15.76491,5010.531912,NaN,2,,
13.2406,2.75,,0.97,K1 V,,13.2406,874.0273658,10.62244204,2,,
