pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
1075.2,,6.21,,G5,,1075.2,341728.8086,NaN,3,,
192.9,,1.82,,G5,,192.9,61309.04686,NaN,3,,
30.052,,0.7,,G5,,30.052,9551.371053,NaN,3,,
2496,,1.65,,G5 V,,2496,793299.02,NaN,3,,
177.11,,7.6,,G5,,177.11,56290.54064,NaN,3,,
356,,2.3,,G5,,356,113146.8153,NaN,3,,
6700,,2.17,,G5,,6700,2129448.491,NaN,3,,
437.05,,1.82,,G5,,437.05,138906.7855,NaN,3,,
15.609,,0.0405,,G5 V,,15.609,4960.979328,NaN,3,,
829,,0.8,,G5 V,,829,263479.5223,NaN,3,,
526.62,,1.56,,G5 V,,526.62,167374.6514,NaN,3,,
5.7727,,0.024,,G5 V,,5.7727,1834.726463,NaN,3,,
3.652836,0.567,,1.19,G5,,3.652836,180.2085514,13.0316557,3,,
3.21222,2.147,,1.08,G5,,3.21222,682.3770016,11.82704887,3,,
10.863502,1.946,,1.072,G5,,10.863502,618.4935468,11.7394411,3,,
5.35227,0.535,,1.17,G5 V,,5.35227,170.0380512,12.81263628,3,,
714.3,,10.6,,G5 IV/V,,714.3,227024.6354,NaN,3,,
1630,4.1,,,G5 III,,1630,1303.095345,NaN,3,,
952.7,,5.3,,G5 III,,952.7,302794.8623,NaN,3,,
123.01,,0.072,,G5 V,,123.01,39096.03864,NaN,3,,
38.021,,0.057,,G5 V,,38.021,12084.14344,NaN,3,,
4.215,,0.016,,G5 V,,4.215,1339.645581,NaN,3,,
1.30618581,1.91,,1.336,G4 V,,1.30618581,607.051734,14.6304975,3,,
242.4613,,,0.153,G4 V,,242.4613,77061.0223,1.675498591,3,,
13.722341,,,0.2,G4 V,,13.722341,4361.34602,2.190194236,3,,
105.599,0.384,,0.384,G4 V,,105.599,122.0460031,4.205172933,3,,
528.4,,1.21,,G3/5 V,,528.4,167940.3855,NaN,3,,
3827,,0.48,,G4 IV,,3827,1216328.265,NaN,3,,
122.1,,0.05,,G3/5 V,,122.1,38806.81504,NaN,3,,
4951,,6.8,,G4 V,,4951,1573567.086,NaN,3,,
18.179,,0.33,,G3/5 V,,18.179,5777.79763,NaN,3,,
445.82,,14.61,,G4,,445.82,141694.1383,NaN,3,,
2.91626,0.853,,1.271,G4,,2.91626,271.1073974,13.91868437,3,,
116.6884,7.49,,,G4 V,,116.6884,2380.532716,NaN,3,,
4.322482,0.3,,1.07,G3 V,,4.322482,95.3484399,11.71753916,3,,
1.72086123,0.939,,1.325,G3 V,,1.72086123,298.4406169,14.51003681,3,,
2209,,1.06,,G3 V,,2209,702082.3458,NaN,3,,
1289,,3,,G3 V,,1289,409680.4634,NaN,3,,
310.55,0.5219,,,G3 IV/V,,310.55,165.8745026,NaN,3,,
9.6386,0.03321,,,G3 IV/V,,9.6386,10.5550723,NaN,3,,
4205.8,,1.814,,G3 IV/V,,4205.8,1336721.562,NaN,3,,
643.25,1.676,,,G3 IV/V,,643.25,532.6799509,NaN,3,,
163.9,,5.02,,G3 IV,,163.9,52092.031,NaN,3,,
4.072,,1.33,,G3 V,,4.072,1294.196158,NaN,3,,
103.95,,5.76,,G3 V,,103.95,33038.23443,NaN,3,,
1951,,18.15,,G3 V,,1951,620082.6875,NaN,3,,
3008,,7.2,,G3 V,,3008,956027.0241,NaN,3,,
4.1547,,0.058,,G3 V,,4.1547,1320.480544,NaN,3,,
559.4,,3,,G3 V,,559.4,177793.0576,NaN,3,,
5.24,,0.28,,G3 V,,5.24,1665.419417,NaN,3,,
498.9,,0.68,,G3 V,,498.9,158564.4556,NaN,3,,
472,,0.58,,G3 V,,472,150014.8788,NaN,3,,
2208,,1.45,,G3 IV-V,,2208,701764.5177,NaN,3,,
591.9,,1.9,,G3 V,,591.9,188122.4719,NaN,3,,
3.257215,0.626,,1.212,G3,,3.257215,198.9604113,13.27257707,3,,
4.124481,4.063,,1.024,G3,,4.124481,1291.335704,11.21379449,3,,
95.2738,0.84,,1.05,G3 V,,95.2738,266.9756317,11.49851974,3,,
691.9,3,,,G3 III,,691.9,953.484399,NaN,3,,
1294,,2.1,,G2/3 IV,,1294,411269.6041,NaN,3,,
653.22,,9.7,,G2/3 V,,653.22,207611.693,NaN,3,,
220.078,1.959,,,G2/3 V,,220.078,622.6253125,NaN,3,,
441.47,1.681,,,G2/3 V,,441.47,534.2690916,NaN,3,,
21.998,,0.39,,G2/3 V,,21.998,6991.58327,NaN,3,,
1183,,4.9,,G2/3 IV/V,,1183,375990.6813,NaN,3,,
4.230785,,0.472,,G2.5 IV,,4.230785,1344.662498,NaN,3,,
798.5,1.68,,,G2.5 V,,798.5,533.9512634,NaN,3,,
5.01718,0.89,,1.37,G2 V,,5.01718,282.8670384,15.00283052,3,,
3.101278,0.62,,1.25,G2 V,,3.101278,197.0534425,13.68871398,3,,
3.24674,1.02,,1.24,G2 IV,,3.24674,324.1846957,13.57920426,3,,
1.4857108,2.45,,1.31,G2 V,,1.4857108,778.6789259,14.34577225,3,,
26.73,,0.71,,G2 V,,26.73,8495.545995,NaN,3,,
3999,,1.9,,G2 V,,3999,1270994.704,NaN,3,,
123,,0.45,,G1/3 (V),,123,39092.86036,NaN,3,,
282.4,,0.48,,G2 V,,282.4,89754.66476,NaN,3,,
63.33,,1.22,,G2 V,,63.33,20128.05566,NaN,3,,
25.827,,0.178,,G2 V,,25.827,8208.547191,NaN,3,,
1695,,0.92,,G2 V,,1695,538718.6854,NaN,3,,
3383,,3.15,,G2 V,,3383,1075212.574,NaN,3,,
25.648,,0.027,,G2 V,,25.648,8151.655955,NaN,3,,
18.357,,0.039,,G2 V,,18.357,5834.371037,NaN,3,,
1214,,1.5,,G2 V,,1214,385843.3535,NaN,3,,
3.57532,10.39,,1.007,G2,,3.57532,3302.234302,11.02762798,3,,
9.24285,4.24,,0.84,G2 V,,9.24285,1347.591284,9.198815791,3,,
3.7681,2.43,,1.02,G2 V,,3.7681,772.3223632,11.1699906,3,,
3.94150685,0.92,,1.21,G1 V,,3.94150685,292.4018824,13.25067513,3,,
4.3050011,0.514,,0.86,G1 V,,4.3050011,163.3636604,9.417835215,3,,
3638,,6.9,,G1 V,,3638,1156258.748,NaN,3,,
956,,0.37,,G1 V,,956,303843.6951,NaN,3,,
359.5546,,10.57,,G1 V,,359.5546,114276.5672,NaN,3,,
842,,0.75,,G1 V(W),,842,267611.288,NaN,3,,
1027,,0.85,,G0/2 V,,1027,326409.4926,NaN,3,,
386.3,,1.62,,G1 V,,386.3,122777.0078,NaN,3,,
2.1375,,1.5,,G1 V,,2.1375,679.3576343,NaN,3,,
2473,,8.06,,G1 V,,2473,785988.9729,NaN,3,,
51.645,,1.8,,G1 V,,51.645,16414.23393,NaN,3,,
2582.7,,1.71,,G0/2 V,,2582.7,820854.7191,NaN,3,,
2063.818,,10.35,,G1 V,,2063.818,655939.4218,NaN,3,,
17.24,,0.0696,,G1 V,,17.24,5479.357013,NaN,3,,
2248,,0.205,,G0/2 V,,2248,714477.643,NaN,3,,
602,,0.067,,G0/2 V,,602,191332.5361,NaN,3,,
122.72,,0.074,,G0/2 V,,122.72,39003.86848,NaN,3,,
49.747,,0.08,,G0/2 V,,49.747,15810.99613,NaN,3,,
16.3567,,0.038,,G0/2 V,,16.3567,5198.619423,NaN,3,,
5.75962,,0.041,,G0/2 V,,5.75962,1830.569271,NaN,3,,
3.056536,0.671,,1.274,G1 V,,3.056536,213.2626772,13.95153728,3,,
951,,4.5,,G0/1 V,,951,302254.5545,NaN,3,,
363.2,0.34,,,G0/1 V,,363.2,108.0615652,NaN,3,,
0.355,0.006,,0.105,G,,0.355,1.906968798,1.149851974,3,,
17.815815,,,0.25,G0 V,,17.815815,5662.367219,2.737742795,3,,
3.024095,3.23,,1.2,G0 IV-V,,3.024095,1026.58487,13.14116542,3,,
2.47063,1.199,,1.272,G0 V,,2.47063,381.0759315,13.92963534,3,,
311.288,,1.94,,G0 V,,311.288,98936.08387,NaN,3,,
2443,,2.54,,G0,,2443,776454.1289,NaN,3,,
141.6,,1.08,,G0,,141.6,45004.46363,NaN,3,,
3724.7,,1.45,,G0,,3724.7,1183814.447,NaN,3,,
3.8335,,0.06,,G0,,3.8335,1218.394148,NaN,3,,
1311,,1.26,,G0 V,,1311,416672.6824,NaN,3,,
1035.7,,0.79,,G0,,1035.7,329174.5973,NaN,3,,
986,,0.75,,G0 V,,986,313378.5391,NaN,3,,
6.838,,0.94,,G0,,6.838,2173.308773,NaN,3,,
538,,1.83,,G0,,538,170991.5356,NaN,3,,
248.4,,1.9,,G0 V,,248.4,78948.50824,NaN,3,,
12.62,,1.13,,G0 V,,12.62,4010.991038,NaN,3,,
391.9,,0.82,,G0,,391.9,124556.8453,NaN,3,,
194.3,,0.85,,G0,,194.3,61754.00624,NaN,3,,
3342,,0.947,,G0,,3342,1062181.62,NaN,3,,
2.8758911,0.368,,0.813,G0,,2.8758911,116.9607529,8.903139569,3,,
974,,5.61,,G0,,974,309564.6015,NaN,3,,
1114,,0.95,,G0 V,,1114,354060.5402,NaN,3,,
68.27,,0.77,,G0,,68.27,21698.12664,NaN,3,,
1531,,6.92,,G0,,1531,486594.8716,NaN,3,,
2157,,1.78,,G0,,2157,685555.2829,NaN,3,,
705,,1.3,,G0,,705,224068.8338,NaN,3,,
1001.7,,6.86,,G0,,1001.7,318368.4408,NaN,3,,
418.2,,2.51,,G0,,418.2,132915.7252,NaN,3,,
3.51,,0.42,,G0 V,,3.51,1115.576747,NaN,3,,
6.276,,1.9,,G0,,6.276,1994.689363,NaN,3,,
118.96,,1.13,,G0 V,,118.96,37808.8347,NaN,3,,
4.9437,,0.115,,G0,,4.9437,1571.246941,NaN,3,,
36.96,,2.49,,G0,,36.96,11746.9278,NaN,3,,
843.6,,0.624,,G0,,843.6,268119.813,NaN,3,,
2295,,0.683,,G0,,2295,729415.5652,NaN,3,,
154.46,,0.61,,G0,,154.46,49091.73342,NaN,3,,
1049,,0.79,,G0,,1049,333401.7115,NaN,3,,
3668,,4.01,,G0 V,,3668,1165793.592,NaN,3,,
466.2,,1.37,,G0 V,,466.2,148171.4756,NaN,3,,
990,,4.4,,G0,,990,314649.8517,NaN,3,,
4218,,1.88,,G0,,4218,1340599.065,NaN,3,,
170.455,,0.82,,G0 V,,170.455,54175.39441,NaN,3,,
1270.2,,3.44,,G0 V,,1270.2,403705.2945,NaN,3,,
1313,,0.63,,G0 V,,1313,417308.3386,NaN,3,,
4046,,2,,G0 V,,4046,1285932.626,NaN,3,,
1275,,1.11,,G0 V,,1275,405230.8696,NaN,3,,
1.212884,2.09,,1.368,G0,,1.212884,664.260798,14.98092857,3,,
4.4652934,0.524,,1.225,G0 V,,4.4652934,166.5419417,13.4149397,3,,
,4,,,G0 V,,NaN,1271.312532,NaN,3,,
3.6313,2.8,,1.05,G0 V,,3.6313,889.9187724,11.49851974,3,,
4.03519,1.308,,0.885,G0 V,,4.03519,415.719198,9.691609494,3,,
1.5089557,1.03,,1.49,G0 V,,1.5089557,327.362977,16.31694706,3,,
3848.86,,1.059,,G0,,3848.86,1223275.988,NaN,3,,
1276.46,,4.132,,G0,,1276.46,405694.8986,NaN,3,,
241.258,,1.981,,G0,,241.258,76678.57971,NaN,3,,
4.617033,,0.6876,,G0,,4.617033,1467.422978,NaN,3,,
39.845,,1.04,,G0 V,,39.845,12663.86196,NaN,3,,
,21.9987,,1.051,G0 IV-V,,NaN,6991.805749,11.50947071,3,,
14002,,1.64,,G0 V,,14002,4450229.518,NaN,3,,
2391,,0.54,,G0 V,,2391,759927.066,NaN,3,,
1078,,2.53,,G0 V,,1078,342618.7274,NaN,3,,
2.484193,1.07,,1.27,F9,,2.484193,340.0761023,13.9077334,0,,
3.6936411,0.636,,1.653,F9,,3.6936411,202.1386926,18.10195536,0,,
10.8985,,0.261,,F8/G0 V,,10.8985,3463.849908,NaN,3,,
738.459,,2.61,,F8/G0 V,,738.459,234703.0453,NaN,3,,
989.2,,0.94,,F9 V,,989.2,314395.5892,NaN,0,,
3.89713,1.11,,1.29,F9 V,,3.89713,352.7892276,14.12675282,0,,
1.51214,7.6,,1.09,F9 V,,1.51214,2415.493811,11.93655859,0,,
8.886593,2.96,,1.166,F9 V,,8.886593,940.7712737,12.7688324,0,,
4.0378962,0.467,,1.388,F9 V,,4.0378962,148.4257381,15.199948,0,,
0.925542,1.49,,1.528,F8 V,,0.925542,473.5639182,16.73308396,0,,
2.9036747,2.242,,1.46,F8,,2.9036747,712.5706742,15.98841792,0,,
3.553945,0.919,,1.799,F8 V,,3.553945,292.0840542,19.70079715,0,,
1.2119189,1.39,,1.363,F8 V,,1.2119189,441.7811049,14.92617372,0,,
7.340718,0.68,,1.32,F8 V,,7.340718,216.1231304,14.45528196,0,,
7.8457,0.43,,1.193,F8,,7.8457,136.6660972,13.06450862,0,,
4.1137912,1.522,,1.286,F8,,4.1137912,483.7344184,14.08294894,0,,
1319,,13,,F8 V,,1319,419215.3074,NaN,0,,
2.245715,,0.45,,F8 V,,2.245715,713.7514057,NaN,0,,
3.52474859,0.714,,1.38,F8,,3.52474859,226.929287,15.11234023,0,,
1333,,2.58,,F8,,1333,423664.9013,NaN,0,,
4885,,3.1,,F8 V,,4885,1552590.43,NaN,0,,
3.0925,,0.95,,F8 V,,3.0925,982.8835013,NaN,0,,
2102,,4.04,,F8 V,,2102,668074.7356,NaN,0,,
225.62,,2.88,,F8 V,,225.62,71708.38337,NaN,0,,
499.4,,2.73,,F8 V,,499.4,158723.3696,NaN,0,,
1544,,1.49,,F8,,1544,490726.6374,NaN,0,,
83.888,,11.68,,F8,,83.888,26661.96642,NaN,0,,
256.78,,8.44,,F8 IV,,256.78,81611.90799,NaN,0,,
1279,,4.9,,F8,,1279,406502.1821,NaN,0,,
264.15,,4.01,,F8,,264.15,83954.30133,NaN,0,,
466,,0.5,,F8,,466,148107.91,NaN,0,,
1159.2,,1.373,,F8 V,,1159.2,368426.3718,NaN,0,,
1845,,0.95,,F8 V,,1845,586392.9054,NaN,0,,
1561,,7.71,,F8,,1561,496129.7156,NaN,0,,
931,,5.13,,F8 V,,931,295897.9918,NaN,0,,
19.382,,0.865,,F8 V,,19.382,6160.144874,NaN,0,,
227,,1.8,,F8,,227,72146.98619,NaN,0,,
5.723186,0.778,,1.107,F8,,5.723186,247.2702875,12.1227251,0,,
3.35524,0.685,,1.242,F8,,3.35524,217.7122711,13.60110621,0,,
2.77596,4.193,,1.289,F8,,2.77596,1332.653362,14.11580185,0,,
5.6334729,9.09,,1.157,F8,,5.6334729,2889.057729,12.67027366,0,,
2.2167421,1.5461,,1.27,F7,,2.2167421,491.3940764,13.9077334,0,,
2.5199454,0.854,,1.483,F7 V,,2.5199454,271.4252256,16.24029026,0,,
21.0874,18,,1.22,F7 IV,,21.0874,5720.906394,13.36018484,0,,
456.1,,3.09,,F7 V,,456.1,144961.4115,NaN,0,,
279.8,,1.37,,F7 V,,279.8,88928.31161,NaN,0,,
1475,,7,,F7 V,,1475,468796.4962,NaN,0,,
388,,9.1,,F7 V,,388,123317.3156,NaN,0,,
6005,,5.3,,F7 V,,6005,1908557.939,NaN,0,,
349.7,,1.25,,F7 V,,349.7,111144.4981,NaN,0,,
3.352057,4.01,,1.49,F6 V,,3.352057,1274.490813,16.31694706,0,,
0.94145299,10.43,,1.165,F6 IV/V,,0.94145299,3314.947427,12.75788142,0,,
2.785755,0.033,,0.146,F6 IV,,2.785755,10.48832839,1.598841792,0,,
324,,2.83,,F6 V,,324,102976.3151,NaN,0,,
604,,2.46,,F6 IV,,604,191968.1923,NaN,0,,
201.3,,1.03,,F6 IV,,201.3,63978.80317,NaN,0,,
777,,1.96,,F6 V,,777,246952.4593,NaN,0,,
2.99433,2.33,,1.43,F6 V,,2.99433,740.5395499,15.65988879,0,,
335.1,,9.88,,F6 V,,335.1,106504.2074,NaN,0,,
4.1250828,1.78,,1.33,F5 V,,4.1250828,565.7340767,14.56479167,0,,
3.1915239,11.79,,1.217,F5 V,,3.1915239,3747.193688,13.32733193,0,,
1.689868,1.18,,1.2,F5 V,,1.689868,375.0371969,13.14116542,0,,
6.87349,2.2,,1.17,F5 IV,,6.87349,699.2218926,12.81263628,0,,
,11,,,F5 V,,NaN,3496.109463,NaN,0,,
5.8881,,0.367,,F5 V,,5.8881,1871.40383,NaN,0,,
1634,,14.2,,F5,,1634,519331.1693,NaN,0,,
3.312433,5.95,,,F5,,3.312433,1891.077391,NaN,0,,
4.2568,21.66,,1.01,F3 V,,4.2568,6884.157361,11.06048089,0,,
18000,,,,F0+ V ({lambda} Boo)...,,18000,5720906.394,NaN,1,,
37000,10,,1.2,F0+ V ({lambda} Boo)...,,37000,3178.28133,13.14116542,1,,
69000,10,,1.2,F0+ V ({lambda} Boo)...,,69000,3178.28133,13.14116542,1,,
170000,7,,1.2,F0+ V ({lambda} Boo)...,,170000,2224.796931,13.14116542,1,,
1.54492875,2,,1.25,F,,1.54492875,635.656266,13.68871398,0,,
138.317,0.531,,0.551,F,,138.317,168.7667386,6.03398512,0,,
3.547851,1.071,,1.381,F,,3.547851,340.3939304,15.1232912,0,,
2.691548,1.73,,1.413,F,,2.691548,549.8426701,15.47372228,0,,
4.627669,2.232,,1.15,F,,4.627669,709.3923929,12.59361686,0,,
,5,,,A8 III,,NaN,1589.140665,NaN,0,,
1.2198669,4.1,,1.497,A5,,1.2198669,1303.095345,16.39360386,0,,
6000,8,,,A5 V,,6000,2542.625064,NaN,0,,
318280,2.6,,1.2,A3 V,,318280,826.3531458,13.14116542,0,,
,23.04,,,B9 V,,NaN,7322.760184,NaN,0,,
,13.616,,,B9 IV,,NaN,4327.547859,NaN,0,,
0.342887,0.0021,,0.077,B,,0.342887,0.667439079,0.843224781,0,,
0.240104,0.0014,,0.068,B,,0.240104,0.444959386,0.74466604,0,,
4.187757,1.059,,1.109,,,4.187757,336.5799928,12.14462704,0,,
,7.5,,,,,NaN,2383.710998,NaN,0,,
3.6623866,0.9,,2.09,,,3.6623866,286.0453197,22.88752977,0,,
2.17517632,0.89,,1.7,,,2.17517632,282.8670384,18.61665101,0,,
4.61442,0.42,,1.4,,,4.61442,133.4878159,15.33135965,0,,
4.086052,2.32,,1.39,,,4.086052,737.3612686,15.22184994,0,,
4.37809,0.38,,1.43,,,4.37809,120.7746905,15.65988879,0,,
4.411953,0.57,,1.39,,,4.411953,181.1620358,15.22184994,0,,
3.8559,2.06,,1.24,,,3.8559,654.725954,13.57920426,0,,
4.465633,0.57,,1.3,,,4.465633,181.1620358,14.23626253,0,,
1.9550959,1.468,,1.153,,,1.9550959,466.5716992,12.62646977,0,,
2.7817387,0.378,,1.115,,,2.7817387,120.1390343,12.21033287,0,,
2.143634,0.98,,1.67,,,2.143634,311.4715703,18.28812187,0,,
4.1591399,1.14,,1.15,,,4.1591399,362.3240716,12.59361686,0,,
1.43037,2.101,,1.31,,,1.43037,667.7569074,14.34577225,0,,
3.1260876,1.007,,1.16,,,3.1260876,320.0529299,12.70312657,0,,
2.4238039,0.889,,1.14,,,2.4238039,282.5492102,12.48410715,0,,
0.813475,1.78,,0.93,,,0.813475,565.7340767,10.1844032,0,,
4.9816872,0.5,,1.08,,,4.9816872,158.9140665,11.82704887,0,,
3.052401,0.92,,1.2,,,3.052401,292.4018824,13.14116542,0,,
4.055259,0.28,,1.27,,,4.055259,88.99187724,13.9077334,0,,
6.871815,2.691,,1.094,,,6.871815,855.2755059,11.98036247,0,,
3.577469,1.8,,1.16,,,3.577469,572.0906394,12.70312657,0,,
1.5373653,2.303,,1.281,,,1.5373653,731.9581903,14.02819408,0,,
3.161575,0.72,,1.32,,,3.161575,228.8362558,14.45528196,0,,
4.3176782,0.59,,1.22,,,4.3176782,187.5185985,13.36018484,0,,
2.718659,3.6,,1.18,,,2.718659,1144.181279,12.92214599,0,,
3.4059096,0.478,,1.549,,,3.4059096,151.9218476,16.96305436,0,,
3.922727,0.244,,0.792,,,3.922727,77.55006445,8.673169175,0,,
2.7566004,1.028,,1.281,,,2.7566004,326.7273207,14.02819408,0,,
3.764825,0.58,,1.22,,,3.764825,184.3403171,13.36018484,0,,
2.34121242,1.071,,1.3,,,2.34121242,340.3939304,14.23626253,0,,
2.9444256,0.884,,0.962,,,2.9444256,280.9600696,10.53483428,0,,
3.5327313,0.588,,1.158,,,3.5327313,186.8829422,12.68122463,0,,
3.7354417,0.49,,1.74,,,3.7354417,155.7357852,19.05468985,0,,
3.1186009,0.855,,1.008,,,3.1186009,271.7430537,11.03857895,0,,
3.7520656,0.542,,1.428,,,3.7520656,172.2628481,15.63798685,0,,
2.243752,7.341,,1.281,,,2.243752,2333.176324,14.02819408,0,,
4.353011,0.477,,1.389,,,4.353011,151.6040194,15.21089897,0,,
1.091423,1.41,,1.79,,,1.091423,448.1376675,19.60223841,0,,
3.7224747,0.487,,1.005,,,3.7224747,154.7823008,11.00572604,0,,
3.0927616,3.15,,1.08,,,3.0927616,1001.158619,11.82704887,0,,
4323,,9.45,,,,4323,1373971.019,NaN,0,,
8.158715,2.244,,1.038,,,8.158715,713.2063305,11.36710808,0,,
4.954658,0.96,,1.33,,,4.954658,305.1150077,14.56479167,0,,
3.361006,0.503,,1.224,,,3.361006,159.8675509,13.40398872,0,,
1.62843142,1.568,,1.167,,,1.62843142,498.3545125,12.77978337,0,,
1.846835,1.76,,1.29,,,1.846835,559.3775141,14.12675282,0,,
1170,3.2,,,sdBV,,1170,1017.050026,NaN,0,,
,14,,,,,NaN,4449.593862,NaN,0,,
1.4822446,1.778,,1.209,,,1.4822446,565.0984205,13.23972416,0,,
1.796,9.7,,1.13,,,1.796,3082.93289,12.37459743,0,,
4.2,3.8,,0.81,,,4.2,1207.746905,8.870286656,0,,
,13,,,,,NaN,4131.765729,NaN,0,,
1.3371182,2.487,,1.144,,,1.3371182,790.4385668,12.52791103,0,,
1.420033,1.09,,1.164,,,1.420033,346.432665,12.74693045,0,,
0.09070629,1.2,,,,,0.09070629,381.3937596,NaN,0,,
36525,2.5,,,,,36525,794.5703325,NaN,0,,
98.2114,0.012,,,,,98.2114,3.813937596,NaN,0,,
66.5419,0.013,,,,,66.5419,4.131765729,NaN,0,,
25.262,0.00007,,,,,25.262,0.022247969,NaN,0,,
2.1451,1.844,,,,,2.1451,586.0750773,NaN,0,,
4.4264,0.54,,,,,4.4264,171.6271918,NaN,0,,
730000,21,,,,,730000,6674.390793,NaN,0,,
3.67724,1.03,,1.36,,,3.67724,327.362977,14.8933208,0,,
3.9791,1.01,,1.13,,,3.9791,321.0064143,12.37459743,0,,
2.4855335,4.5,,1.61,,,2.4855335,1430.226599,17.6310636,0,,
,2.73,,,,,NaN,867.6708031,NaN,0,,
,1.85,,,,,NaN,587.9820461,NaN,0,,
,0.0694,,,,,NaN,22.05727243,NaN,0,,
5100,0.27,,,,,5100,85.81359591,NaN,0,,
1825,0.71,,,,,1825,225.6579744,NaN,0,,
3500,0.017,,,,,3500,5.403078261,NaN,0,,
3300,0.04,,,,,3300,12.71312532,NaN,0,,
3600,3.8,,,,,3600,1207.746905,NaN,0,,
,2.6,,,,,NaN,826.3531458,NaN,0,,
677.8,,19.8,,,,677.8,215423.9085,NaN,0,,
,11.6,,,,,NaN,3686.806343,NaN,0,,
,4.8,,,,,NaN,1525.575038,NaN,0,,
,11,,,,,NaN,3496.109463,NaN,0,,
,1.5,,,,,NaN,476.7421995,NaN,0,,
1970,2.6,,,,,1970,826.3531458,NaN,0,,
,0.157,,,,,NaN,49.89901688,NaN,0,,
2780,0.0327,,,,,2780,10.39297995,NaN,0,,
,0.23,,,,,NaN,73.10047059,NaN,0,,
,0.9,,,,,NaN,286.0453197,NaN,0,,
,0.01,,,,,NaN,3.17828133,NaN,0,,
3.91405,0.81,,0.89,,,3.91405,257.4407877,9.74636435,0,,
66.262,0.211,,0.388,,,66.262,67.06173606,4.248976818,0,,
3.00516,,,0.168,,,3.00516,955.1243922,1.839763158,0,,
17.833648,,,0.253,,,17.833648,5668.035048,2.770595709,0,,
68.9584,0.008,,0.106,,,68.9584,2.542625064,1.160802945,0,,
2.46502,0.002,,0.073,,,2.46502,0.635656266,0.799420896,0,,
3000,12.6,,,,,3000,4004.634476,NaN,0,,
0.66931,0.0002,,0.095,,,0.66931,0.063565627,1.040342262,0,,
4.62332,0.009,,0.076,,,4.62332,2.860453197,0.83227381,0,,
2.42629,0.02,,0.128,,,2.42629,6.35656266,1.401724311,0,,
29.726682,,,0.416,,,29.726682,9447.97584,4.555604011,0,,
10.613839,,,0.186,,,10.613839,3373.376633,2.036880639,0,,
14.751166,,,0.153,,,14.751166,4688.335549,1.675498591,0,,
11.829851,,,0.113,,,11.829851,3759.859457,1.237459743,0,,
54.280749,,,0.156,,,54.280749,17251.94911,1.708351504,0,,
7.031462,,,0.112,,,7.031462,2234.79644,1.226508772,0,,
11.242861,,,0.13,,,11.242861,3573.297521,1.423626253,0,,
8.921099,,,0.123,,,8.921099,2835.376239,1.346969455,0,,
6.124821,,,0.139,,,6.124821,1946.640423,1.522184994,0,,
4.028751,,,0.109,,,4.028751,1280.450409,1.193655859,0,,
47.318218,,,0.192,,,47.318218,15039.06088,2.102586467,0,,
14.383035,,,0.153,,,14.383035,4571.333161,1.675498591,0,,
17.340824,,,0.133,,,17.340824,5511.401717,1.456479167,0,,
9.024389,,,0.147,,,9.024389,2868.204707,1.609792763,0,,
58.034616,,,0.169,,,58.034616,18445.03365,1.850714129,0,,
26.67569,,,0.128,,,26.67569,8478.284749,1.401724311,0,,
14.425281,,,0.086,,,14.425281,4584.760128,0.941783521,0,,
11.419412,,,0.09,,,11.419412,3629.410396,0.985587406,0,,
4.081423,,,0.083,,,4.081423,1297.191052,0.908930608,0,,
135.498527,,,0.551,,,135.498527,43065.24386,6.03398512,0,,
22.250949,,,0.219,,,22.250949,7071.977578,2.398262688,0,,
88.505,0.056,,0.473,,,88.505,17.79837545,5.179809368,0,,
42.994,0.238,,0.312,,,42.994,75.64309565,3.416703008,0,,
34.989262,,,0.118,,,34.989262,11120.57182,1.292214599,0,,
7.054346,,,0.092,,,7.054346,2242.069619,1.007489349,0,,
12.130686,,,0.148,,,12.130686,3855.473283,1.620743735,0,,
8.005013,,,0.143,,,8.005013,2544.218336,1.565988879,0,,
14.613612,,,0.119,,,14.613612,4644.617018,1.30316557,0,,
9.182417,,,0.115,,,9.182417,2918.430452,1.259361686,0,,
10.423118,,,0.098,,,10.423118,3312.760134,1.073195176,0,,
5.341853,,,0.089,,,5.341853,1697.791166,0.974636435,0,,
20.485435,,,0.316,,,20.485435,6510.84756,3.460506893,0,,
7.416755,,,0.285,,,7.416755,2357.253395,3.121026786,0,,
13.060022,,,0.07,,,13.060022,4150.842409,0.766567983,0,,
6.738088,,,0.073,,,6.738088,2141.553929,0.799420896,0,,
14.51143,,,0.13,,,14.51143,4612.140704,1.423626253,0,,
3.244107,,,0.135,,,3.244107,1031.068471,1.478381109,0,,
13.297004,,,0.077,,,13.297004,4226.161956,0.843224781,0,,
3.173315,,,0.072,,,3.173315,1008.568782,0.788469925,0,,
11.837549,,,0.079,,,11.837549,3762.306098,0.865126723,0,,
6.791636,,,0.092,,,6.791636,2158.57299,1.007489349,0,,
25.193458,,,0.141,,,25.193458,8007.18972,1.544086936,0,,
12.31043,,,0.124,,,12.31043,3912.600983,1.357920426,0,,
15.163161,,,0.271,,,15.163161,4819.279151,2.96771319,0,,
10.043686,,,0.244,,,10.043686,3192.16597,2.672036968,0,,
45.348269,,,0.101,,,45.348269,14412.95567,1.106048089,0,,
22.597053,,,0.1,,,22.597053,7181.979166,1.095097118,0,,
31.200751,,,0.111,,,31.200751,9916.476439,1.215557801,0,,
